Date,eq
2018-06-20,0.9999206349206349
2018-06-21,0.9998412761400856
2018-06-22,0.9997619236578522
2018-06-25,0.9996825774734349
2018-06-26,0.9996032375863338
2018-06-27,0.9995239039960492
2018-06-28,0.9994445767020812
2018-06-29,0.9993652557039302
2018-07-02,0.9992859410010965
2018-07-03,0.9992066325930805
2018-07-05,0.9991273304793826
2018-07-06,0.9990480346595033
2018-07-09,0.998968745132943
2018-07-10,0.9988894618992022
2018-07-11,0.9988101849577816
2018-07-12,0.9987309143081817
2018-07-13,0.9986516499499033
2018-07-16,0.998572391882447
2018-07-17,0.9984931401053134
2018-07-18,0.9984138946180035
2018-07-19,0.9983346554200179
2018-07-20,0.9982554225108575
2018-07-23,0.9981761958900233
2018-07-24,0.998096975557016
2018-07-25,0.9980177615113369
2018-07-26,0.9979385537524867
2018-07-27,0.9978593522799667
2018-07-30,0.9977801570932777
2018-07-31,0.9977009681919211
2018-08-01,0.9976217855753979
2018-08-02,0.9975426092432094
2018-08-03,0.9974634391948567
2018-08-06,0.9973842754298412
2018-08-07,0.9973051179476642
2018-08-08,0.997225966747827
2018-08-09,0.9971468218298312
2018-08-10,0.997067683193178
2018-08-13,0.9969885508373689
2018-08-14,0.9969094247619056
2018-08-15,0.9968303049662895
2018-08-16,0.9967511914500223
2018-08-17,0.9966720842126057
2018-08-20,0.9965929832535412
2018-08-21,0.9965138885723306
2018-08-22,0.9964348001684756
2018-08-23,0.996355718041478
2018-08-24,0.9962766421908398
2018-08-27,0.9961975726160627
2018-08-28,0.9961185093166487
2018-08-29,0.9960394522920997
2018-08-30,0.9959604015419177
2018-08-31,0.9958813570656048
2018-09-04,0.995802318862663
2018-09-05,0.9957232869325945
2018-09-06,0.9956442612749014
2018-09-07,0.9955652418890858
2018-09-10,0.9954862287746501
2018-09-11,0.9954072219310965
2018-09-12,0.9953282213579273
2018-09-13,0.9952492270546449
2018-09-14,0.9951702390207516
2018-09-17,0.99509125725575
2018-09-18,0.9950122817591424
2018-09-19,0.9949333125304313
2018-09-20,0.9948543495691193
2018-09-21,0.9947753928747091
2018-09-24,0.9946964424467031
2018-09-25,0.9946174982846041
2018-09-26,0.9945385603879148
2018-09-27,0.9944596287561379
2018-09-28,0.9943807033887763
2018-10-01,0.9943017842853327
2018-10-02,0.99422287144531
2018-10-03,0.9941439648682111
2018-10-04,0.9940650645535389
2018-10-05,0.9939861705007965
2018-10-08,0.9939072827094869
2018-10-09,0.9938284011791131
2018-10-10,0.9937495259091782
2018-10-11,0.9936706568991853
2018-10-12,0.9935917941486377
2018-10-15,0.9935129376570386
2018-10-16,0.9934340874238912
2018-10-17,0.9933552434486987
2018-10-18,0.9932764057309647
2018-10-19,0.9931975742701923
2018-10-22,0.993118749065885
2018-10-23,0.9930399301175464
2018-10-24,0.99296111742468
2018-10-25,0.992882310986789
2018-10-26,0.9928035108033774
2018-10-29,0.9927247168739485
2018-10-30,0.9926459291980061
2018-10-31,1.0041542579457021
2018-11-01,1.0190423229593408
2018-11-02,1.0115960238978934
2018-11-05,1.0146253026926084
2018-11-06,1.019891788026144
2018-11-07,1.048992806593018
2018-11-08,1.0488961576754794
2018-11-09,1.0368919042519682
2018-11-12,1.0130073777395332
2018-11-13,1.0108143366566456
2018-11-14,1.001454303017879
2018-11-15,1.0121964574435338
2018-11-16,1.0136524758918446
2018-11-19,0.9881387509886013
2018-11-20,0.9704413924046792
2018-11-21,0.9742808903824871
2018-11-23,0.9702544168027368
2018-11-26,0.9878943620100087
2018-11-27,0.9928678743431752
2018-11-28,1.0221186987449047
2018-11-29,1.0182750722489702
2018-11-30,1.0326377016399952
2018-12-03,1.0452485973149919
2018-12-04,1.005771216266983
2018-12-06,1.00716176121403
2018-12-07,0.9723968558914549
2018-12-10,0.9782889935473306
2018-12-11,0.9824218189535756
2018-12-12,0.9907255690010462
2018-12-13,0.9919154949174953
2018-12-14,0.9615076447941494
2018-12-17,0.9327012237372027
2018-12-18,0.9311295263336397
2018-12-19,0.9117043640279201
2018-12-20,0.8896637015955114
2018-12-21,0.8671024321936981
2018-12-24,0.8385587747683715
2018-12-26,0.8919294781721875
2018-12-27,0.9017184721254988
2018-12-28,0.901346827893054
2018-12-31,0.9132334642772091
2019-01-02,0.9040205900609173
2019-01-03,0.874308560264259
2019-01-04,0.9160228101017207
2019-01-07,0.9242575591836514
2019-01-08,0.939214096308203
2019-01-09,0.9413911899725781
2019-01-10,0.9483598025442135
2019-01-11,0.9487765027196527
2019-01-14,0.9316744218590457
2019-01-15,0.9515774728955292
2019-01-16,0.9499324800936891
2019-01-17,0.9595019781341303
2019-01-18,0.9767232416876597
2019-01-22,0.9616808023464621
2019-01-23,0.9707760232623759
2019-01-24,0.9697353187660619
2019-01-25,0.9724742746093771
2019-01-28,0.9623692983231877
2019-01-29,0.9599775379374679
2019-01-30,0.9851415854631265
2019-01-31,1.007129962073187
2019-02-01,0.9993581546800375
2019-02-04,1.0055917122757498
2019-02-05,1.014122596257143
2019-02-06,1.013078282857117
2019-02-07,1.0091188007529803
2019-02-08,1.0160116621059951
2019-02-11,1.0137360867498553
2019-02-12,1.0312246476704308
2019-02-13,1.0316675494479572
2019-02-14,1.031195458784846
2019-02-15,1.0482897519075887
2019-02-19,1.0589855948538496
2019-02-20,1.058895979569016
2019-02-21,1.051633145668515
2019-02-22,1.064984096117868
2019-02-25,1.0602465131491134
2019-02-26,1.0622305085830024
2019-02-27,1.0532878463209685
2019-02-28,1.0498492769693628
2019-03-01,1.0508291461475676
2019-03-04,1.0454258213637766
