,IC
2018-10-31,0.08181818181818183
2018-11-30,-0.2545454545454546
2018-12-31,-0.18181818181818182
2019-01-31,-0.5090909090909091
2019-02-28,0.5090909090909091
2019-04-30,0.4000000000000001
2019-05-31,-0.7363636363636363
2019-07-31,0.9790209790209792
2019-09-30,-0.09090909090909093
2019-10-31,-0.6993006993006995
2019-12-31,0.1398601398601399
2020-01-31,-0.06293706293706294
2020-03-31,-0.6795106742881959
2020-04-30,-0.1958041958041958
2020-06-30,0.5034965034965035
2020-07-31,0.006993006993006993
2020-08-31,-0.1258741258741259
2020-09-30,-0.07692307692307693
2020-11-30,-0.013986013986013986
2020-12-31,-0.04895104895104895
2021-03-31,0.22377622377622378
2021-04-30,0.16462372005951137
2021-06-30,-0.5174825174825175
2021-08-31,-0.021015794050150388
2021-09-30,0.16783216783216784
2021-11-30,-0.06293706293706294
2021-12-31,0.013986013986013986
2022-01-31,0.4238185133446995
2022-02-28,0.46153846153846156
2022-03-31,0.6993006993006995
2022-05-31,0.1958041958041958
2022-06-30,-0.3216783216783217
2022-08-31,0.2657342657342658
2022-09-30,0.32867132867132864
2022-10-31,0.09090909090909093
2022-11-30,0.6993006993006995
2023-01-31,-0.5034965034965035
2023-02-28,-0.2657342657342658
2023-03-31,0.07692307692307693
2023-05-31,-0.049036852783684234
2023-06-30,0.22377622377622378
2023-07-31,0.4545454545454546
2023-08-31,0.07355527917552636
2023-10-31,0.2867132867132868
2023-11-30,-0.1258741258741259
2024-01-31,0.5944055944055945
2024-02-29,-0.45884483676161686
2024-04-30,0.18563951410966179
2024-05-31,-0.1328671328671329
2024-07-31,-0.14685314685314685
2024-09-30,0.4755244755244756
2024-10-31,0.027972027972027972
2024-12-31,0.44055944055944063
2025-01-31,-0.2797202797202798
2025-02-28,-0.02097902097902098
2025-03-31,0.4755244755244756
2025-04-30,-0.1398601398601399
2025-06-30,0.15384615384615385
2025-07-31,-0.0979020979020979
