,GLD,TLT,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2018-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-31,0.16723885010380543,0.16988885472304416,0.16458285859776456,0.1645497314812399,0.16534454337806964,0.1672092796363363,0.1652604446737497,0.1654910873751722,0.16813244743090153,0.1697129650017863,0.1665818844729625,0.16600705312516773
2018-09-28,0.16723885010380543,0.16988885472304416,0.16458285859776456,0.1645497314812399,0.16534454337806964,0.1672092796363363,0.1652604446737497,0.1654910873751722,0.16813244743090153,0.1697129650017863,0.1665818844729625,0.16600705312516773
2018-10-31,0.07158223397762527,0.07271649943435611,0.07044540598992986,0.0704312267905118,0.07077142532172478,0.07156957710920092,0.07073542906172833,0.07083414966288178,0.07196471503935387,0.07264121442029674,0.07130103695030136,0.07105499536361276
2018-11-30,0.0654655974926542,0.06650294100254484,0.0644259104177284,0.06441294281794432,0.0647240716955223,0.06545402214207147,0.06469115128305088,0.06478143629904191,0.06581539589715096,0.066434089024145,0.06520842849437075,0.06498341093644366
2018-12-31,0.046392860643223205,0.04712798465853382,0.045656075836745184,0.04564688621543719,0.045867370854887346,0.046384657653453794,0.045844041470193726,0.04590802286386409,0.046640748835717914,0.047079192004662866,0.0462106152203435,0.04605115424225709
2019-01-31,0.052475966685360316,0.05330748133658463,0.0516425734773761,0.051632178898233454,0.05188157383603216,0.05246668810646063,0.05185518546512769,0.051927556201404323,0.05275635837388075,0.05325229091194768,0.052269824951330555,0.052089455194914175
2019-02-28,0.06589725733442393,0.06694144076562425,0.06485071488544761,0.06483766178133325,0.06515084214621461,0.06588560565957026,0.06511770466675561,0.06520858499413475,0.0662493622010889,0.0668721347986374,0.06563839264354225,0.06541189138964093
2019-03-29,0.07720900700634255,0.07843243221577592,0.07598281783635358,0.07596752407075866,0.07633446415240214,0.07719535523566494,0.07629563838047754,0.0764021189855465,0.07762155326724895,0.07835122936899412,0.07690570628427232,0.0766403244215544
2019-04-30,0.0989655396734563,0.10053371080783881,0.09739382572899723,0.0973742223715079,0.09784456157953172,0.09894804100451865,0.0977947951905994,0.09793128069862492,0.09949433631174896,0.1004296260142846,0.09857677260071615,0.0982366094477142
2019-05-31,0.0875124628388058,0.08889915277729706,0.08612264009230693,0.08610530539075868,0.0865212132168528,0.0874969892545644,0.08647720618898802,0.08659789651198864,0.0879800629378965,0.08880711350122122,0.08716868697380895,0.08686789019763376
2019-06-28,0.08953839524593132,0.09095718735586071,0.08811639780281262,0.08809866179918129,0.08852419798123669,0.08952256344487425,0.0884791721811765,0.0886026565112095,0.09001682038826264,0.09086301735067406,0.08918666089544461,0.08887890060896421
2019-07-31,0.1027073763746237,0.10433483926170826,0.10107623672561616,0.10105589217515441,0.10154401466932397,0.10268921608991688,0.10149236663854737,0.10163401259418721,0.1032561665447573,0.10422681907506834,0.10230391021666879,0.10195088566792762
2019-08-30,0.06810956352390965,0.06918880233618721,0.06702788649678725,0.06701439517317494,0.06733808964573967,0.0680975206784149,0.06730383967307721,0.06739777103958751,0.06847348927367934,0.06911716962563114,0.06784200821400918,0.06760790284809773
2019-09-30,0.08780731259881307,0.08919867461694081,0.08641280721752179,0.08639541411134836,0.08681272322725572,0.08779178688048182,0.08676856792951963,0.08688966488617696,0.08827648815095952,0.08910632523922253,0.08746237847328962,0.08716056824309441
2019-10-31,0.09267925976952765,0.09414782085054699,0.09120738091732775,0.09118902276289235,0.09162948607753768,0.09266287261406482,0.09158288084401024,0.09171069680797922,0.09317446730507271,0.09405034751132509,0.0923151871373447,0.09199663110940698
2019-11-29,0.11570052739433334,0.11753387492006093,0.11386303797238947,0.11384011970399324,0.11438999286794653,0.11568006971551438,0.1143318110254084,0.11449137611556344,0.11631874308978335,0.11741218947735342,0.11524602014364788,0.11484833569376456
2019-12-31,0.13034348028553716,0.13240885459676885,0.12827343988349355,0.1282476211000173,0.12886708570851488,0.13032043350160386,0.12880154042521638,0.1289812999271934,0.13103993679379025,0.13227176875576377,0.12983145101303917,0.12938343598302499
2020-01-31,0.11228220874364557,0.11406139086337612,0.11049900709810971,0.11047676593936946,0.1110103933546284,0.11226235547749985,0.11095393046775934,0.11110878128101383,0.11288215954186913,0.11394330056087836,0.11184112969978752,0.11145519465332301
2020-02-28,0.05354444333307993,0.05439288866787597,0.05269408119174689,0.052683474965906175,0.05293794789814556,0.05353497583065002,0.052911022226837426,0.05298486652227979,0.05383054414885084,0.05433657449681513,0.05333410429421057,0.053150061982816
2020-03-31,0.055096764417139454,0.0625936249899736,0.03807314070916281,0.040793892873995284,0.0325196514842371,0.03473956966752401,0.03700603434662715,0.036716436459273104,0.042571485353515966,0.03876655648752014,0.04121507888128186,0.039907764329749504
2020-04-30,0.055096764417139454,0.0625936249899736,0.03807314070916281,0.040793892873995284,0.0325196514842371,0.03473956966752401,0.03700603434662715,0.036716436459273104,0.042571485353515966,0.03876655648752014,0.04121507888128186,0.039907764329749504
2020-05-29,0.055096764417139454,0.0625936249899736,0.03807314070916281,0.040793892873995284,0.0325196514842371,0.03473956966752401,0.03700603434662715,0.036716436459273104,0.042571485353515966,0.03876655648752014,0.04121507888128186,0.039907764329749504
