Date,scaler,sigma,target
2018-06-20,2.0,0.0,0.1
2018-06-21,2.0,0.0,0.1
2018-06-22,2.0,0.0,0.1
2018-06-25,2.0,0.0,0.1
2018-06-26,2.0,0.0,0.1
2018-06-27,2.0,0.0,0.1
2018-06-28,2.0,0.0,0.1
2018-06-29,2.0,0.0,0.1
2018-07-02,2.0,0.0,0.1
2018-07-03,2.0,0.0,0.1
2018-07-05,2.0,0.0,0.1
2018-07-06,2.0,0.0,0.1
2018-07-09,2.0,0.0,0.1
2018-07-10,2.0,0.0,0.1
2018-07-11,2.0,0.0,0.1
2018-07-12,2.0,0.0,0.1
2018-07-13,2.0,0.0,0.1
2018-07-16,2.0,0.0,0.1
2018-07-17,2.0,0.0,0.1
2018-07-18,2.0,0.0,0.1
2018-07-19,2.0,0.0,0.1
2018-07-20,2.0,0.0,0.1
2018-07-23,2.0,0.0,0.1
2018-07-24,2.0,0.0,0.1
2018-07-25,2.0,0.0,0.1
2018-07-26,2.0,0.0,0.1
2018-07-27,2.0,0.0,0.1
2018-07-30,2.0,0.0,0.1
2018-07-31,2.0,0.0,0.1
2018-08-01,2.0,0.0,0.1
2018-08-02,2.0,0.0,0.1
2018-08-03,2.0,0.0,0.1
2018-08-06,2.0,0.0,0.1
2018-08-07,2.0,0.0,0.1
2018-08-08,2.0,0.0,0.1
2018-08-09,2.0,0.0,0.1
2018-08-10,2.0,0.0,0.1
2018-08-13,2.0,0.0,0.1
2018-08-14,2.0,0.0,0.1
2018-08-15,2.0,0.0,0.1
2018-08-16,2.0,0.0,0.1
2018-08-17,2.0,0.0,0.1
2018-08-20,2.0,0.0,0.1
2018-08-21,2.0,0.0,0.1
2018-08-22,2.0,0.0,0.1
2018-08-23,2.0,0.0,0.1
2018-08-24,2.0,0.0,0.1
2018-08-27,2.0,0.0,0.1
2018-08-28,2.0,0.0,0.1
2018-08-29,2.0,0.0,0.1
2018-08-30,2.0,0.0,0.1
2018-08-31,2.0,0.005740702849435493,0.1
2018-09-04,2.0,0.009886666916793758,0.1
2018-09-05,2.0,0.009896553422790947,0.1
2018-09-06,2.0,0.010901289209007386,0.1
2018-09-07,2.0,0.01370896562471546,0.1
2018-09-10,2.0,0.014505273624307568,0.1
2018-09-11,2.0,0.015364341603790558,0.1
2018-09-12,2.0,0.015893561711921633,0.1
2018-09-13,2.0,0.018942211110660002,0.1
2018-09-14,2.0,0.018862896332712837,0.1
2018-09-17,2.0,0.01943180586376952,0.1
2018-09-18,2.0,0.020811236336399,0.1
2018-09-19,2.0,0.02049562982453334,0.1
2018-09-20,2.0,0.028033164791835288,0.1
2018-09-21,2.0,0.027624776259279477,0.1
2018-09-24,2.0,0.03000136808063525,0.1
2018-09-25,2.0,0.030086910739564047,0.1
2018-09-26,2.0,0.03068633370024629,0.1
2018-09-27,2.0,0.030358224379621695,0.1
2018-09-28,2.0,0.029884952839457524,0.1
2018-10-01,2.0,0.030015354599372344,0.1
2018-10-02,2.0,0.03034359851450806,0.1
2018-10-03,2.0,0.0305757044432951,0.1
2018-10-04,2.0,0.033836907687316946,0.1
2018-10-05,2.0,0.03455449611692785,0.1
2018-10-08,2.0,0.0340210818722988,0.1
2018-10-09,2.0,0.034146846622181835,0.1
2018-10-10,1.3498196877562503,0.07408396907162162,0.1
2018-10-11,1.2007724238189872,0.08327972729583162,0.1
2018-10-12,1.1757844499921593,0.0850496024170645,0.1
2018-10-15,1.1913756469066041,0.08393658226911813,0.1
2018-10-16,1.0743189995912212,0.09308222235485926,0.1
2018-10-17,1.090535448168348,0.09169807379297845,0.1
2018-10-18,1.0604355063349389,0.09430087865090306,0.1
2018-10-19,1.0773849933079889,0.09281733142853726,0.1
2018-10-22,1.0826743004465995,0.09236388077074549,0.1
2018-10-23,1.085722511340298,0.0921045653521105,0.1
2018-10-24,0.9330796363593181,0.10717198843839217,0.1
2018-10-25,0.9069290466577177,0.11026220889994365,0.1
2018-10-26,0.873965016720953,0.11442105586238684,0.1
2018-10-29,0.8837110761426122,0.11315915653846816,0.1
2018-10-30,0.8502525841877687,0.11761210945983568,0.1
2018-10-31,0.8560479091215236,0.11681589188462595,0.1
2018-11-01,0.842924003589561,0.11863465694908873,0.1
2018-11-02,0.8498071054073745,0.117673763097171,0.1
2018-11-05,0.8538288109109955,0.11711949599511016,0.1
2018-11-06,0.859452399760125,0.11635315699614106,0.1
2018-11-07,0.8166565785906738,0.12245049219167829,0.1
2018-11-08,0.8275795980424061,0.1208342982796392,0.1
2018-11-09,0.8292692839429574,0.12058809114998967,0.1
2018-11-12,0.8015309513163296,0.12476124575822442,0.1
2018-11-13,0.8135602132109396,0.12291653202326899,0.1
2018-11-14,0.8226561786386111,0.12155746543530128,0.1
2018-11-15,0.8241934866597362,0.12133073315742479,0.1
2018-11-16,0.8327661734981633,0.12008172663874485,0.1
2018-11-19,0.819729847638199,0.12199141008238194,0.1
2018-11-20,0.7859667442965793,0.1272318462907709,0.1
2018-11-21,0.7970098031915086,0.1254689711463582,0.1
2018-11-23,0.8022490229154571,0.12464957531090473,0.1
2018-11-26,0.789416847925152,0.12667578638945065,0.1
2018-11-27,0.801750607364629,0.12472706485212665,0.1
2018-11-28,0.7656879792457113,0.13060150180039556,0.1
2018-11-29,0.7778876717565236,0.128553264990295,0.1
2018-11-30,0.7828993975026687,0.127730332043919,0.1
2018-12-03,0.7761782175616064,0.12883639058327845,0.1
2018-12-04,0.7102681037070816,0.14079190587057608,0.1
2018-12-06,0.7206353322906786,0.13876644055479587,0.1
