CAGR,Vol,Sharpe,MaxDD,Hit%,window,vt_target,exec_speed,no_trade_band,w_cap,AnnTurn
0.1049,0.1552,0.547,-0.303,0.5142,126,0.1,0.33,0.004,0.2,0.6323
0.1049,0.1552,0.5469,-0.303,0.5142,126,0.1,0.33,0.004,0.3,0.6463
0.105,0.1551,0.548,-0.303,0.5136,126,0.1,0.5,0.001,0.1,0.5563
0.1042,0.1552,0.5426,-0.303,0.5136,126,0.1,0.5,0.001,0.2,0.863
0.1039,0.1552,0.541,-0.303,0.5136,126,0.1,0.5,0.001,0.3,0.9721
0.1051,0.1551,0.5483,-0.303,0.5136,126,0.1,0.5,0.002,0.1,0.5517
0.1042,0.1552,0.543,-0.303,0.5136,126,0.1,0.5,0.002,0.2,0.8584
0.104,0.1552,0.5413,-0.303,0.5136,126,0.1,0.5,0.002,0.3,0.9675
0.1052,0.1551,0.5489,-0.303,0.5136,126,0.1,0.5,0.004,0.1,0.5418
0.1043,0.1552,0.5435,-0.303,0.5136,126,0.1,0.5,0.004,0.2,0.8484
0.1041,0.1552,0.5418,-0.303,0.5136,126,0.1,0.5,0.004,0.3,0.9576
0.1051,0.1551,0.5485,-0.303,0.5136,126,0.12,0.25,0.001,0.1,0.5429
0.1049,0.1552,0.5473,-0.303,0.5136,126,0.12,0.25,0.001,0.2,0.6234
0.1049,0.1552,0.5471,-0.303,0.5136,126,0.12,0.25,0.001,0.3,0.6394
0.1051,0.1551,0.5486,-0.303,0.5136,126,0.12,0.25,0.002,0.1,0.5424
0.1049,0.1552,0.5473,-0.303,0.5136,126,0.12,0.25,0.002,0.2,0.6229
0.1049,0.1551,0.5472,-0.303,0.5136,126,0.12,0.25,0.002,0.3,0.6389
0.1051,0.1551,0.5487,-0.303,0.5136,126,0.12,0.25,0.004,0.1,0.5412
0.1049,0.1552,0.5474,-0.303,0.5136,126,0.12,0.25,0.004,0.2,0.6217
0.1049,0.1551,0.5473,-0.303,0.5136,126,0.12,0.25,0.004,0.3,0.6377
0.1049,0.1551,0.5471,-0.303,0.5131,126,0.12,0.33,0.001,0.1,0.6239
0.1044,0.1552,0.5442,-0.303,0.5131,126,0.12,0.33,0.001,0.2,0.7911
0.1044,0.1552,0.5439,-0.303,0.5131,126,0.12,0.33,0.001,0.3,0.8305
0.1049,0.1551,0.5472,-0.303,0.5131,126,0.12,0.33,0.002,0.1,0.6232
0.1045,0.1552,0.5443,-0.303,0.5131,126,0.12,0.33,0.002,0.2,0.7904
0.1044,0.1552,0.544,-0.303,0.5131,126,0.12,0.33,0.002,0.3,0.8299
0.1049,0.1551,0.5473,-0.303,0.5131,126,0.12,0.33,0.004,0.1,0.6217
0.1045,0.1552,0.5444,-0.303,0.5131,126,0.12,0.33,0.004,0.2,0.7889
0.1044,0.1552,0.5441,-0.303,0.5131,126,0.12,0.33,0.004,0.3,0.8283
0.1047,0.1551,0.5458,-0.303,0.5131,126,0.12,0.5,0.001,0.1,0.6942
0.1038,0.1552,0.5398,-0.303,0.5131,126,0.12,0.5,0.001,0.2,1.0858
0.1035,0.1552,0.5383,-0.303,0.5131,126,0.12,0.5,0.001,0.3,1.1969
0.1047,0.1551,0.5459,-0.303,0.5131,126,0.12,0.5,0.002,0.1,0.6932
0.1038,0.1552,0.5399,-0.303,0.5131,126,0.12,0.5,0.002,0.2,1.0848
0.1036,0.1552,0.5384,-0.303,0.5131,126,0.12,0.5,0.002,0.3,1.1959
0.1047,0.1551,0.5461,-0.303,0.5131,126,0.12,0.5,0.004,0.1,0.6909
0.1038,0.1552,0.54,-0.303,0.5131,126,0.12,0.5,0.004,0.2,1.0824
0.1036,0.1552,0.5386,-0.303,0.5131,126,0.12,0.5,0.004,0.3,1.1936
