Date,ret_ivol
2018-06-20,-7.936507936507937e-05
2018-06-21,-7.936507936507937e-05
2018-06-22,-7.936507936507937e-05
2018-06-25,-7.936507936507937e-05
2018-06-26,-7.936507936507937e-05
2018-06-27,-7.936507936507937e-05
2018-06-28,-7.936507936507937e-05
2018-06-29,-7.936507936507937e-05
2018-07-02,-7.936507936507937e-05
2018-07-03,-7.936507936507937e-05
2018-07-05,-7.936507936507937e-05
2018-07-06,-7.936507936507937e-05
2018-07-09,-7.936507936507937e-05
2018-07-10,-7.936507936507937e-05
2018-07-11,-7.936507936507937e-05
2018-07-12,-7.936507936507937e-05
2018-07-13,-7.936507936507937e-05
2018-07-16,-7.936507936507937e-05
2018-07-17,-7.936507936507937e-05
2018-07-18,-7.936507936507937e-05
2018-07-19,-7.936507936507937e-05
2018-07-20,-7.936507936507937e-05
2018-07-23,-7.936507936507937e-05
2018-07-24,-7.936507936507937e-05
2018-07-25,-7.936507936507937e-05
2018-07-26,-7.936507936507937e-05
2018-07-27,-7.936507936507937e-05
2018-07-30,-7.936507936507937e-05
2018-07-31,-7.936507936507937e-05
2018-08-01,-7.936507936507937e-05
2018-08-02,-7.936507936507937e-05
2018-08-03,-7.936507936507937e-05
2018-08-06,-7.936507936507937e-05
2018-08-07,-7.936507936507937e-05
2018-08-08,-7.936507936507937e-05
2018-08-09,-7.936507936507937e-05
2018-08-10,-7.936507936507937e-05
2018-08-13,-7.936507936507937e-05
2018-08-14,-7.936507936507937e-05
2018-08-15,-7.936507936507937e-05
2018-08-16,-7.936507936507937e-05
2018-08-17,-7.936507936507937e-05
2018-08-20,-7.936507936507937e-05
2018-08-21,-7.936507936507937e-05
2018-08-22,-7.936507936507937e-05
2018-08-23,-7.936507936507937e-05
2018-08-24,-7.936507936507937e-05
2018-08-27,-7.936507936507937e-05
2018-08-28,-7.936507936507937e-05
2018-08-29,-7.936507936507937e-05
2018-08-30,-7.936507936507937e-05
2018-08-31,-7.936507936507937e-05
2018-09-04,-7.936507936507937e-05
2018-09-05,-7.936507936507937e-05
2018-09-06,-7.936507936507937e-05
2018-09-07,-7.936507936507937e-05
2018-09-10,-7.936507936507937e-05
2018-09-11,-7.936507936507937e-05
2018-09-12,-7.936507936507937e-05
2018-09-13,-7.936507936507937e-05
2018-09-14,-7.936507936507937e-05
2018-09-17,-7.936507936507937e-05
2018-09-18,-7.936507936507937e-05
2018-09-19,-7.936507936507937e-05
2018-09-20,-7.936507936507937e-05
2018-09-21,-7.936507936507937e-05
2018-09-24,-7.936507936507937e-05
2018-09-25,-7.936507936507937e-05
2018-09-26,-7.936507936507937e-05
2018-09-27,-7.936507936507937e-05
2018-09-28,-7.936507936507937e-05
2018-10-01,-7.936507936507937e-05
2018-10-02,-7.936507936507937e-05
2018-10-03,-7.936507936507937e-05
2018-10-04,-7.936507936507937e-05
2018-10-05,-7.936507936507937e-05
2018-10-08,-7.936507936507937e-05
2018-10-09,-7.936507936507937e-05
2018-10-10,-7.936507936507937e-05
2018-10-11,-7.936507936507937e-05
2018-10-12,-7.936507936507937e-05
2018-10-15,-7.936507936507937e-05
2018-10-16,-7.936507936507937e-05
2018-10-17,-7.936507936507937e-05
2018-10-18,-7.936507936507937e-05
2018-10-19,-7.936507936507937e-05
2018-10-22,-7.936507936507937e-05
2018-10-23,-7.936507936507937e-05
2018-10-24,-7.936507936507937e-05
2018-10-25,-7.936507936507937e-05
2018-10-26,-7.936507936507937e-05
2018-10-29,-7.936507936507937e-05
2018-10-30,-7.936507936507937e-05
2018-10-31,0.0022596079918801
2018-11-01,0.00967569417751312
2018-11-02,-0.005303305771506794
2018-11-05,0.006005062707426556
2018-11-06,0.004789154854927947
2018-11-07,0.013360818391893512
2018-11-08,-0.0025899521942900788
2018-11-09,-0.005653173625774067
2018-11-12,-0.011379931541843103
2018-11-13,-0.0016785193275922843
2018-11-14,-0.0035776145013812015
2018-11-15,0.005736150883526421
2018-11-16,0.004950072677866216
2018-11-19,-0.008464605593156437
2018-11-20,-0.012979511695860521
2018-11-21,0.0016227504136930183
2018-11-23,-0.0046888406655430405
2018-11-26,0.00899603196302804
2018-11-27,0.0011034506036446227
2018-11-28,0.01322776796692586
2018-11-29,0.0009498624051162082
2018-11-30,0.005549475592568113
2018-12-03,0.00887431906605641
2018-12-04,-0.015573882222728189
2018-12-06,-0.0020540343217160745
2018-12-07,-0.011383066595188396
2018-12-10,0.00010965800834180476
2018-12-11,-8.369354431772802e-05
2018-12-12,0.0028116796034768922
2018-12-13,-0.0011882180616897432
2018-12-14,-0.010849488792175678
2018-12-17,-0.012571824657006193
2018-12-18,-0.0010015219841755557
2018-12-19,-0.00829458238759201
2018-12-20,-0.009084642038995552
2018-12-21,-0.011789308202633476
2018-12-24,-0.017548968648286256
2018-12-26,0.028247632423009476
2018-12-27,0.007843915683276215
2018-12-28,0.0007763732716165357
2018-12-31,0.00560215929470129
2019-01-02,0.0013463674032591017
2019-01-03,-0.00914155017739765
2019-01-04,0.017652499992561285
2019-01-07,0.003546254445275402
2019-01-08,0.0055875847478008885
2019-01-09,0.002286118307965479
2019-01-10,0.0015490904740571537
2019-01-11,0.0002007171985426735
2019-01-14,-0.004737839214486015
2019-01-15,0.004604717889077127
2019-01-16,0.0016946919053102655
2019-01-17,0.005222557316164447
2019-01-18,0.006196870587828371
2019-01-22,-0.006581602395911503
2019-01-23,0.000866053966000368
2019-01-24,0.0008537502659637656
2019-01-25,0.005377165866878586
2019-01-28,-0.0034325362903370473
2019-01-29,0.0024836774667166823
