Date,ret_instant_simplebps,ret_throttled_advanced
2018-06-20,-7.936507936507937e-05,-7.936507936507937e-05
2018-06-21,-7.936507936507937e-05,-7.936507936507937e-05
2018-06-22,-7.936507936507937e-05,-7.936507936507937e-05
2018-06-25,-7.936507936507937e-05,-7.936507936507937e-05
2018-06-26,-7.936507936507937e-05,-7.936507936507937e-05
2018-06-27,-7.936507936507937e-05,-7.936507936507937e-05
2018-06-28,-7.936507936507937e-05,-7.936507936507937e-05
2018-06-29,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-02,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-03,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-05,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-06,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-09,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-10,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-11,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-12,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-13,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-16,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-17,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-18,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-19,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-20,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-23,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-24,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-25,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-26,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-27,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-30,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-31,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-01,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-02,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-03,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-06,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-07,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-08,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-09,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-10,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-13,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-14,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-15,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-16,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-17,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-20,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-21,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-22,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-23,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-24,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-27,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-28,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-29,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-30,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-31,-0.0031250785787502056,-0.0024851480181214396
2018-09-04,-0.0029704909928943506,-0.0029704909928943506
2018-09-05,0.0005631748174757853,0.0005631748174757855
2018-09-06,-0.0018235296596712906,-0.0018235296596712906
2018-09-07,-0.003120003353486417,-0.003120003353486417
2018-09-10,0.001817643972391877,0.0018176439723918765
2018-09-11,0.0019437330272573062,0.0019437330272573062
2018-09-12,0.0016634878991740707,0.0016634878991740707
2018-09-13,0.0037269897898076186,0.0037269897898076186
2018-09-14,-0.0011007175254806887,-0.0011007175254806887
2018-09-17,-0.0021235254845291137,-0.0021235254845291137
2018-09-18,0.0028443090692309323,0.0028443090692309323
2018-09-19,0.00017195870042942566,0.00017195870042942566
2018-09-20,0.0068573822854959094,0.0068573822854959094
2018-09-21,-0.0005611998616903079,-0.0005611998616903079
2018-09-24,-0.004598148496495776,-0.004598148496495776
2018-09-25,-0.0021346574098116715,-0.0021346574098116715
2018-09-26,-0.002946094250590998,-0.002946094250590998
2018-09-27,0.0010130582832049147,0.0010130582832049147
2018-09-28,0.00011228718666376938,0.00011228718666376938
2018-09-30,-9.26209008656966e-05,
2018-10-01,0.002050481565045653,0.002050481565045653
2018-10-02,0.0023885739096365663,0.0023885739096365663
2018-10-03,-0.0024137581252329523,-0.0024137581252329523
2018-10-04,-0.005591470725622083,-0.005591470725622083
2018-10-05,-0.003362073662668728,-0.003362073662668728
2018-10-08,0.00022596458136050064,0.00022596458136050064
2018-10-09,-0.0024631167916200534,-0.0024631167916200534
2018-10-10,-0.023606051049605278,-0.023606051049605278
2018-10-11,-0.014415826423389127,-0.014415826423389127
2018-10-12,0.008004720590981031,0.008004720590981031
2018-10-15,-0.00227485992238098,-0.00227485992238098
2018-10-16,0.015202597357134228,0.015202597357134228
2018-10-17,-0.001459289815105198,-0.001459289815105198
2018-10-18,-0.009818132000195406,-0.009818132000195406
2018-10-19,0.00011480546125100608,0.00011480546125100608
2018-10-22,-0.004929604292850101,-0.004929604292850101
2018-10-23,-0.005349807276856725,-0.005349807276856725
2018-10-24,-0.020449589436729462,-0.020449589436729462
2018-10-25,0.011361868387645134,0.011361868387645134
2018-10-26,-0.012998424211392098,-0.012998424211392098
2018-10-29,-0.00401454293098341,-0.00401454293098341
2018-10-30,0.013385551619729399,0.013385551619729399
2018-10-31,0.005505341025464494,0.005505341025464494
2018-11-01,0.01033840504941493,0.01033840504941493
2018-11-02,-0.005276930853748743,-0.005276930853748741
2018-11-05,0.006119207882524396,0.006119207882524396
2018-11-06,0.005551952951738324,0.005551952951738324
2018-11-07,0.015367960182550768,0.015367960182550768
2018-11-08,-0.0031730126050023115,-0.0031730126050023115
2018-11-09,-0.007178060663725229,-0.007178060663725229
2018-11-12,-0.013780543415249116,-0.013780543415249116
2018-11-13,-0.002015702810555703,-0.002015702810555703
2018-11-14,-0.004293861782934637,-0.004293861782934637
2018-11-15,0.007106894382241754,0.007106894382241754
2018-11-16,0.004407076918450282,0.004407076918450282
2018-11-19,-0.010846176623891356,-0.010846176623891356
2018-11-20,-0.01507605411366461,-0.01507605411366461
2018-11-21,0.0026899872753025937,0.0026899872753025937
2018-11-23,-0.006116432567620711,-0.006116432567620711
2018-11-26,0.011160073161982842,0.011160073161982842
2018-11-27,0.0011313918789082802,0.0011313918789082802
2018-11-28,0.01580148818865367,0.01580148818865367
2018-11-29,0.0004507164685816381,0.0004507164685816379
2018-11-30,0.006149428547145252,0.006149428547145252
2018-12-03,0.009959522562904345,0.009959522562904345
2018-12-04,-0.021878694610025794,-0.021878694610025794
2018-12-06,-0.0026788223204045384,-0.0026788223204045384
2018-12-07,-0.015294223602612508,-0.015294223602612508
2018-12-10,0.00027164835902225234,0.0002716483590222521
2018-12-11,-0.00022928804868555707,-0.00022928804868555707
2018-12-12,0.004170761773651453,0.004170761773651455
2018-12-13,-0.001313636951639388,-0.001313636951639388
2018-12-14,-0.013206344979984781,-0.013206344979984783
2018-12-17,-0.015907035540304964,-0.015907035540304964
2018-12-18,-0.0013904923889407938,-0.0013904923889407938
2018-12-19,-0.011252068554226974,-0.011252068554226976
2018-12-20,-0.01226139520012701,-0.01226139520012701
2018-12-21,-0.014587887462154111,-0.014587887462154111
2018-12-24,-0.022007904433446565,-0.022007904433446565
2018-12-26,0.03689216356800805,0.03689216356800805
2018-12-27,0.008414395867795327,0.008414395867795327
2018-12-28,-0.0004850725857492129,-0.0004850725857492129
2018-12-31,0.006659441286670694,0.006659441286670694
2019-01-02,0.002162313697917536,0.002162313697917536
2019-01-03,-0.01544257466693454,-0.01544257466693454
2019-01-04,0.025708355791871522,0.025708355791871522
2019-01-07,0.005435490927828364,0.005435490927828364
2019-01-08,0.0076412818971683845,0.0076412818971683845
2019-01-09,0.003322664719284863,0.003322664719284863
2019-01-10,0.0030654339280847317,0.0030654339280847317
2019-01-11,-0.0005851470017295683,-0.0005851470017295685
2019-01-14,-0.005273462197880139,-0.005273462197880139
2019-01-15,0.006453414781205293,0.006453414781205293
2019-01-16,0.001590870556563621,0.001590870556563621
2019-01-17,0.006790693121998564,0.006790693121998564
2019-01-18,0.009945099235655045,0.009945099235655045
2019-01-22,-0.01033709832180837,-0.010337098321808371
2019-01-23,0.0006095313975329441,0.0006095313975329441
2019-01-24,0.0010842773531468323,0.0010842773531468323
2019-01-25,0.00681786324744079,0.0068178632474407905
2019-01-28,-0.0051612274227156784,-0.0051612274227156784
2019-01-29,0.0012221134371015736,0.0012221134371015736
2019-01-30,0.011903985204670557,0.011903985204670557
2019-01-31,0.008637909225886475,0.008637909225886475
2019-02-01,-0.0001245980652830476,-0.0001245980652830476
2019-02-04,0.003731637048120823,0.003731637048120823
2019-02-05,0.004188162078156519,0.004188162078156519
