Date,ret_oos
2023-06-02,-7.936507936507937e-05
2023-06-05,-7.936507936507937e-05
2023-06-06,-7.936507936507937e-05
2023-06-07,-7.936507936507937e-05
2023-06-08,-7.936507936507937e-05
2023-06-09,-7.936507936507937e-05
2023-06-12,-7.936507936507937e-05
2023-06-13,-7.936507936507937e-05
2023-06-14,-7.936507936507937e-05
2023-06-15,-7.936507936507937e-05
2023-06-16,-7.936507936507937e-05
2023-06-20,-7.936507936507937e-05
2023-06-21,-7.936507936507937e-05
2023-06-22,-7.936507936507937e-05
2023-06-23,-7.936507936507937e-05
2023-06-26,-7.936507936507937e-05
2023-06-27,-7.936507936507937e-05
2023-06-28,-7.936507936507937e-05
2023-06-29,-7.936507936507937e-05
2023-06-30,-7.936507936507937e-05
2023-07-03,-7.936507936507937e-05
2023-07-05,-7.936507936507937e-05
2023-07-06,-7.936507936507937e-05
2023-07-07,-7.936507936507937e-05
2023-07-10,-7.936507936507937e-05
2023-07-11,-7.936507936507937e-05
2023-07-12,-7.936507936507937e-05
2023-07-13,-7.936507936507937e-05
2023-07-14,-7.936507936507937e-05
2023-07-17,-7.936507936507937e-05
2023-07-18,-7.936507936507937e-05
2023-07-19,-7.936507936507937e-05
2023-07-20,-7.936507936507937e-05
2023-07-21,-7.936507936507937e-05
2023-07-24,-7.936507936507937e-05
2023-07-25,-7.936507936507937e-05
2023-07-26,-7.936507936507937e-05
2023-07-27,-7.936507936507937e-05
2023-07-28,-7.936507936507937e-05
2023-07-31,-7.936507936507937e-05
2023-08-01,-7.936507936507937e-05
2023-08-02,-7.936507936507937e-05
2023-08-03,-7.936507936507937e-05
2023-08-04,-7.936507936507937e-05
2023-08-07,-7.936507936507937e-05
2023-08-08,-7.936507936507937e-05
2023-08-09,-7.936507936507937e-05
2023-08-10,-7.936507936507937e-05
2023-08-11,-7.936507936507937e-05
2023-08-14,-7.936507936507937e-05
2023-08-15,-7.936507936507937e-05
2023-08-16,-7.936507936507937e-05
2023-08-17,-7.936507936507937e-05
2023-08-18,-7.936507936507937e-05
2023-08-21,-7.936507936507937e-05
2023-08-22,-7.936507936507937e-05
2023-08-23,-7.936507936507937e-05
2023-08-24,-7.936507936507937e-05
2023-08-25,-7.936507936507937e-05
2023-08-28,-7.936507936507937e-05
2023-08-29,-7.936507936507937e-05
2023-08-30,-7.936507936507937e-05
2023-08-31,-7.936507936507937e-05
2023-09-01,-7.936507936507937e-05
2023-09-05,-7.936507936507937e-05
2023-09-06,-7.936507936507937e-05
2023-09-07,-7.936507936507937e-05
2023-09-08,-7.936507936507937e-05
2023-09-11,-7.936507936507937e-05
2023-09-12,-7.936507936507937e-05
2023-09-13,-7.936507936507937e-05
2023-09-14,-7.936507936507937e-05
2023-09-15,-7.936507936507937e-05
2023-09-18,-7.936507936507937e-05
2023-09-19,-7.936507936507937e-05
2023-09-20,-7.936507936507937e-05
2023-09-21,-7.936507936507937e-05
2023-09-22,-7.936507936507937e-05
2023-09-25,-7.936507936507937e-05
2023-09-26,-7.936507936507937e-05
2023-09-27,-7.936507936507937e-05
2023-09-28,-7.936507936507937e-05
2023-09-29,-7.936507936507937e-05
2023-10-02,-7.936507936507937e-05
2023-10-03,-7.936507936507937e-05
2023-10-04,-7.936507936507937e-05
2023-10-05,-7.936507936507937e-05
2023-10-06,-7.936507936507937e-05
2023-10-09,-7.936507936507937e-05
2023-10-10,-7.936507936507937e-05
2023-10-11,-7.936507936507937e-05
2023-10-12,-7.936507936507937e-05
2023-10-13,-7.936507936507937e-05
2023-10-16,-7.936507936507937e-05
2023-10-17,-7.936507936507937e-05
2023-10-18,-7.936507936507937e-05
2023-10-19,-7.936507936507937e-05
2023-10-20,-7.936507936507937e-05
2023-10-23,-7.936507936507937e-05
2023-10-24,-7.936507936507937e-05
2023-10-25,-7.936507936507937e-05
2023-10-26,-7.936507936507937e-05
2023-10-27,-7.936507936507937e-05
2023-10-30,-7.936507936507937e-05
2023-10-31,-7.936507936507937e-05
2023-11-01,-7.936507936507937e-05
2023-11-02,-7.936507936507937e-05
2023-11-03,-7.936507936507937e-05
2023-11-06,-7.936507936507937e-05
2023-11-07,-7.936507936507937e-05
2023-11-08,-7.936507936507937e-05
2023-11-09,-7.936507936507937e-05
2023-11-10,-7.936507936507937e-05
2023-11-13,-7.936507936507937e-05
2023-11-14,-7.936507936507937e-05
2023-11-15,-7.936507936507937e-05
2023-11-16,-7.936507936507937e-05
2023-11-17,-7.936507936507937e-05
2023-11-20,-7.936507936507937e-05
2023-11-21,-7.936507936507937e-05
2023-11-22,-7.936507936507937e-05
2023-11-24,-7.936507936507937e-05
2023-11-27,-7.936507936507937e-05
2023-11-28,-7.936507936507937e-05
2023-11-29,-7.936507936507937e-05
2023-11-30,0.004681960772703598
2023-12-01,0.007549814378269448
2023-12-04,-0.003592062223166004
2023-12-05,-0.008872476296674021
2023-12-06,-0.004601831201561557
2023-12-07,0.0048693301037933566
2023-12-08,0.005905306137221167
2023-12-11,0.0022176533954845644
2023-12-12,0.0004504064181189035
2023-12-13,0.012560869168355015
2023-12-14,0.014070956318335813
