lookback,skip,top,Sharpe,CAGR,Vol,period
126,21,4,0.28127608529881704,0.16309638750317124,0.5087399710897963,1
189,0,4,0.2694047710087473,0.14083002118118482,0.44850735467213226,1
189,21,4,0.2692828155811724,0.14080850365508102,0.4486305722641428,1
126,0,4,0.250243252639679,0.14668262502798868,0.506237925265449,1
252,0,4,0.2471123886753961,0.13714892549535707,0.4740714381958507,1
252,21,4,0.24172859948001346,0.13452353161702413,0.4737690611014901,1
252,21,2,0.22207157397508034,0.1733764900943131,0.6906624172958048,1
126,0,3,0.2022626839925042,0.14741448419972136,0.629945582075057,1
189,21,3,0.19400217980177145,0.13525981755373118,0.5941160953526499,1
189,0,3,0.18090462451552838,0.1202887222312643,0.5543734578363737,1
126,21,3,0.1684461366293645,0.13360048145598746,0.6744024156870094,1
252,0,3,0.16178713151234864,0.11406902465973667,0.5814370016972377,1
252,21,3,0.1613550621075431,0.11578083662707828,0.5936029237387072,1
126,21,2,0.11113415135417593,0.11448269221871943,0.8501679372851861,1
252,0,2,0.0950381361193732,0.09142522054518998,0.751542732861216,1
189,0,2,0.09017657584752982,0.08502597958508051,0.7210961269479357,1
189,21,2,0.05092912839865793,0.06302599988748048,0.844821053105128,1
126,0,2,0.024640395752038163,0.04329001462846471,0.9451964515033509,1
189,0,4,0.534280518963191,0.22204617858717923,0.37816497404633825,2
126,21,4,0.5074488073813279,0.2418454199670772,0.43717793152752266,2
189,21,4,0.5054623827356922,0.21698598623248633,0.3897144336762463,2
126,0,4,0.4918975469927984,0.23593486214677406,0.438983409181212,2
126,0,3,0.4619208038797689,0.27263140728414537,0.546914980148635,2
126,21,2,0.4459854371098307,0.34760632664133384,0.7345673185303039,2
252,21,4,0.4413167083159842,0.18497112492921786,0.3738157242193015,2
126,21,3,0.4395551453795609,0.27604647943290583,0.5825127566458282,2
252,0,4,0.4366478709322927,0.18367747530940748,0.37485004784275605,2
189,21,3,0.4255540480210578,0.23990086166505997,0.5167401477853609,2
189,0,2,0.4143156586540912,0.2635884570095768,0.5879296423429335,2
189,0,3,0.40982928549154674,0.20112089990394577,0.4419423069942659,2
252,21,3,0.3775596167454904,0.1983285648805937,0.47231895830851905,2
189,21,2,0.37379572943932077,0.2777670365991345,0.6895933160760694,2
126,0,2,0.3675398606600098,0.2804094654821525,0.708520335765819,2
252,0,3,0.36034781007569544,0.17812304407326995,0.43880672964282563,2
252,21,2,0.3479372306565567,0.21011456143588547,0.5464047669665583,2
252,0,2,0.2868533659168118,0.1927993143068576,0.6023959794042292,2
126,21,4,0.5970105698922491,0.23219708488851154,0.3554327102228856,3
126,0,4,0.5802985145483798,0.22644803130486113,0.3557617779971923,3
126,21,3,0.5222457916735966,0.2651935979168276,0.4694984657149205,3
126,21,2,0.4823746326172198,0.3318483538588457,0.6464858074456574,3
126,0,3,0.4662199094727011,0.2382603433296806,0.46814891190840613,3
252,21,4,0.4540556297271494,0.1756524422278003,0.3428047843418103,3
189,21,4,0.4522678843593749,0.17812385681720544,0.3496243316970949,3
189,0,4,0.45212746117541,0.17821033533998132,0.34992418936172764,3
189,0,2,0.42379331065080406,0.27254899432107105,0.5959249189970476,3
252,0,4,0.42344331606038405,0.16366780390468638,0.3392846184026176,3
252,21,3,0.4028128279976489,0.20221186591505003,0.4523487169482933,3
252,21,2,0.3949916292426012,0.2500150755716437,0.5823289876109501,3
252,0,3,0.36825963526143785,0.18575981502651295,0.45011670885090466,3
126,0,2,0.3594137286424418,0.2538293836854695,0.6505855649106038,3
189,21,3,0.3453718883276805,0.17842803375356486,0.4587172236880269,3
189,21,2,0.336499534245409,0.23344993053036056,0.6343245942643463,3
252,0,2,0.33232152443816354,0.23096565320677453,0.6348239210910029,3
189,0,3,0.32139234613709283,0.16744705558926043,0.4587758774017772,3
