train_start,train_end,window,vt_target,exec_speed,no_trade_band,turnover_cap,score,Sharpe,AnnTurn
2013-07-22,2018-07-22,126,0.1,0.5,0.004,0.2,-9.037614076459973e+16,-9.037614076459973e+16,0.0
2013-07-22,2018-07-22,126,0.12,0.25,0.001,0.1,-9.037614076459973e+16,-9.037614076459973e+16,0.0
2013-07-22,2018-07-22,126,0.12,0.25,0.001,0.2,-9.037614076459973e+16,-9.037614076459973e+16,0.0
2013-07-22,2018-07-22,126,0.12,0.25,0.002,0.1,-9.037614076459973e+16,-9.037614076459973e+16,0.0
2013-07-22,2018-07-22,126,0.12,0.25,0.002,0.2,-9.037614076459973e+16,-9.037614076459973e+16,0.0
2013-07-22,2018-07-22,126,0.12,0.25,0.004,0.1,-9.037614076459973e+16,-9.037614076459973e+16,0.0
2013-07-22,2018-07-22,126,0.12,0.25,0.004,0.2,-9.037614076459973e+16,-9.037614076459973e+16,0.0
2013-07-22,2018-07-22,126,0.12,0.33,0.001,0.1,-9.037614076459973e+16,-9.037614076459973e+16,0.0
2013-07-22,2018-07-22,126,0.12,0.33,0.001,0.2,-9.037614076459973e+16,-9.037614076459973e+16,0.0
2013-07-22,2018-07-22,126,0.12,0.33,0.002,0.1,-9.037614076459973e+16,-9.037614076459973e+16,0.0
2013-07-22,2018-07-22,126,0.12,0.33,0.002,0.2,-9.037614076459973e+16,-9.037614076459973e+16,0.0
2013-07-22,2018-07-22,126,0.12,0.33,0.004,0.1,-9.037614076459973e+16,-9.037614076459973e+16,0.0
2013-07-22,2018-07-22,126,0.12,0.33,0.004,0.2,-9.037614076459973e+16,-9.037614076459973e+16,0.0
2013-07-22,2018-07-22,126,0.12,0.5,0.001,0.1,-9.037614076459973e+16,-9.037614076459973e+16,0.0
2013-07-22,2018-07-22,126,0.12,0.5,0.001,0.2,-9.037614076459973e+16,-9.037614076459973e+16,0.0
2013-07-22,2018-07-22,126,0.12,0.5,0.002,0.1,-9.037614076459973e+16,-9.037614076459973e+16,0.0
2013-07-22,2018-07-22,126,0.12,0.5,0.002,0.2,-9.037614076459973e+16,-9.037614076459973e+16,0.0
2013-07-22,2018-07-22,126,0.12,0.5,0.004,0.1,-9.037614076459973e+16,-9.037614076459973e+16,0.0
2013-07-22,2018-07-22,126,0.12,0.5,0.004,0.2,-9.037614076459973e+16,-9.037614076459973e+16,0.0
2019-02-12,2024-02-12,63,0.08,0.25,0.001,0.1,-0.03586893246081935,0.40033849429701995,0.8724148535156786
2019-02-12,2024-02-12,63,0.08,0.25,0.001,0.2,-0.09919694215301822,0.3981812735451991,0.9947564313964347
2019-02-12,2024-02-12,63,0.08,0.25,0.002,0.1,-0.03586893246081935,0.40033849429701995,0.8724148535156786
2019-02-12,2024-02-12,63,0.08,0.25,0.002,0.2,-0.09919694215301822,0.3981812735451991,0.9947564313964347
2019-02-12,2024-02-12,63,0.08,0.25,0.004,0.1,-0.03586893246081935,0.40033849429701995,0.8724148535156786
2019-02-12,2024-02-12,63,0.08,0.25,0.004,0.2,-0.09919694215301822,0.3981812735451991,0.9947564313964347
2019-02-12,2024-02-12,63,0.08,0.33,0.001,0.1,-0.08425764784136702,0.3990111238140986,0.9665375433109312
2019-02-12,2024-02-12,63,0.08,0.33,0.001,0.2,-0.25674270053495357,0.39339146078716997,1.300268322644247
2019-02-12,2024-02-12,63,0.08,0.33,0.002,0.1,-0.08425764784136702,0.3990111238140986,0.9665375433109312
