Date,scaler,sigma
2021-03-01,0.7987480125773052,0.1251959296616362
2021-03-02,0.8091002021723113,0.12359408603719932
2021-03-03,0.805579339391889,0.12413426599978027
2021-03-04,0.8024399658447882,0.12461991458105227
2021-03-05,0.760025851281101,0.13157447188334426
2021-03-08,0.7721503105821729,0.1295084630926376
2021-03-09,0.7664178754950915,0.13047712376933
2021-03-10,0.7646297483108839,0.13078225143725627
2021-03-11,0.7737579917743439,0.12923937595873472
2021-03-12,0.7857407682495857,0.1272684376843173
2021-03-15,0.7931630522851715,0.1260774814357418
2021-03-16,0.8024583220972373,0.12461706389765943
2021-03-17,0.8145413246841725,0.12276847959650625
2021-03-18,0.8004959540995044,0.12492255518329536
2021-03-19,0.8131010997472065,0.12298593622747535
2021-03-22,0.8230498585788121,0.12149932225572989
2021-03-23,0.8280053332176799,0.12077216895619963
2021-03-24,0.8411551053277933,0.11888413845034036
2021-03-25,0.8482461805438578,0.11789030389253795
2021-03-26,0.830875359655316,0.12035499529253635
2021-03-29,0.8435717962152508,0.11854355544917176
2021-03-30,0.8541205372119798,0.11707949363496165
2021-03-31,0.8668375541646162,0.1153618685756773
2021-04-01,0.8573254466332468,0.11664181950122234
2021-04-05,0.8537976164543573,0.11712377508768304
2021-04-06,0.8666402132669487,0.11538813739444755
2021-04-07,0.8796932647955278,0.11367598684894284
2021-04-08,0.8912878449617964,0.1121971993282219
2021-04-09,0.9032962619173039,0.11070565020134548
2021-04-12,0.9177435992654154,0.1089628956061829
2021-04-13,0.9298922206218811,0.1075393446491286
2021-04-14,0.9447680474481097,0.105846085999741
2021-04-15,0.9272160123842483,0.10784973368056863
2021-04-16,0.938593935444041,0.10654234618796128
2021-04-19,0.9473315291629706,0.10555966620086693
2021-04-20,0.9556943151978126,0.10463596822724816
2021-04-21,0.9466241202304041,0.10563855057449884
2021-04-22,0.941985835853178,0.1061587087553474
2021-04-23,0.9412101891506739,0.10624619362677923
2021-04-26,0.9562361780110755,0.10457667498838531
2021-04-27,0.9711374371368672,0.10297203688781953
2021-04-28,0.9838783511959803,0.10163858151614197
2021-04-29,0.9853696114947176,0.10148476148793441
2021-04-30,0.9901099538564951,0.10099888361943873
2021-05-03,0.9908844802750411,0.10091993768258725
2021-05-04,1.0053201658851276,0.09947079884939507
2021-05-05,1.0185660777905094,0.09817723383928284
2021-05-06,1.0061745930163628,0.09938632986171395
2021-05-07,1.0049343184869575,0.09950899094635492
2021-05-10,1.0125489019349418,0.09876066213582757
2021-05-11,0.9976908038301613,0.10023145408988172
2021-05-12,0.9140385594797545,0.10940457485395062
2021-05-13,0.901911475109715,0.11087562666594887
2021-05-14,0.8672617345447257,0.11530544473116368
2021-05-17,0.8809903230326651,0.11350862476646323
2021-05-18,0.8809631516589155,0.11351212569072042
2021-05-19,0.8884545216412048,0.11255500148198266
2021-05-20,0.886152965848319,0.11284733432480189
2021-05-21,0.8999545214108522,0.11111672603547869
2021-05-24,0.9009734443695873,0.11099106263888853
2021-05-25,0.9138650307681139,0.1094253490758355
2021-05-26,0.9278421202075198,0.10777695668486591
2021-05-27,0.9422248234060889,0.1061317824747025
2021-05-28,0.9567579783428676,0.10451964056072247
2021-05-31,0.9720670780639176,0.10287355909550161
2021-06-01,0.9866844851456376,0.1013495210530646
2021-06-02,1.0012460536262597,0.09987554970911028
2021-06-03,1.0134476230691556,0.09867308159168302
2021-06-04,1.007127983627091,0.09929224649270293
2021-06-07,1.022302208529567,0.09781843291117942
2021-06-08,1.038654938313095,0.09627836571249782
2021-06-09,1.0546258500148924,0.09482035737943263
2021-06-10,1.0666756260815975,0.09374921255803619
2021-06-11,1.0837367279685242,0.09227333301460684
2021-06-14,1.098658557644309,0.09102008927542986
2021-06-15,1.1162218555060197,0.08958792511249186
2021-06-16,1.1022199410128442,0.09072599422226811
2021-06-17,1.1006454279274134,0.09085578103777388
2021-06-18,1.050649122810638,0.09517925426186583
2021-06-21,0.9950083042561845,0.10050167377724019
2021-06-22,1.0075909058710095,0.09924662818741427
2021-06-23,1.022063042237157,0.09784132276333327
2021-06-24,1.0280600063583807,0.0972705867182038
2021-06-25,1.0400090351298148,0.09615301081256272
2021-06-28,1.056624213206726,0.0946410263460764
2021-06-29,1.0694283931616078,0.09350789696574702
2021-06-30,1.0811103882760345,0.0924974924711088
2021-07-01,1.079969474090254,0.09259520977131148
2021-07-02,1.0864267646785688,0.09204486050156
2021-07-06,1.0939889763949087,0.09140859931654555
2021-07-07,1.1053143026806918,0.09047200398789056
2021-07-08,1.0966072042662478,0.09119035476965623
2021-07-09,1.0708367188722914,0.0933849187626952
2021-07-12,1.0851481168014712,0.0921533184748595
2021-07-13,1.0885305925296813,0.09186696330472979
2021-07-14,1.1056405693603273,0.09044530634205598
2021-07-15,1.1232415753161902,0.08902804365289828
2021-07-16,1.1097827282198534,0.09010772780759074
2021-07-19,1.0495837689010972,0.09527586359752772
2021-07-20,1.0175247490439696,0.0982777078335996
2021-07-21,1.0199101108254787,0.09804785631457619
2021-07-22,1.0359684614167046,0.096528035094088
2021-07-23,1.0331721189034144,0.09678929402986383
2021-07-26,1.044870172127894,0.09570567010861118
2021-07-27,1.0614167415920392,0.09421370144398523
2021-07-28,1.078356006241592,0.0927337534368926
2021-07-29,1.0831178052726487,0.09232606048316917
2021-07-30,1.089835788185786,0.09175694272846989
2021-07-31,1.1072742680715804,0.09031186119240284
2021-08-02,1.124041997795646,0.08896464740295255
2021-08-03,1.1142883017122929,0.08974338135501653
2021-08-04,1.108365839612593,0.09022291776418605
2021-08-05,1.1151104876797184,0.08967721235236195
2021-08-06,1.1328743178041984,0.08827104510041829
2021-08-09,1.145310069262043,0.08731260004064484
2021-08-10,1.1519340675712395,0.08681052398323628
2021-08-11,1.1512875888455847,0.08685927041068138
2021-08-12,1.169058119166579,0.08553894657631732
2021-08-13,1.1820689865969505,0.08459743139686733
2021-08-16,1.2004102488737773,0.08330485356470409
2021-08-17,1.197667291950641,0.0834956424643859
2021-08-18,1.1694900469714251,0.08550735447382851
2021-08-19,1.185789390490919,0.08433200769202348
2021-08-20,1.182902752716168,0.08453780310374723
2021-08-23,1.1618903367331377,0.08606664229704146
2021-08-24,1.1793861022336678,0.08478987484302858
2021-08-25,1.1970084178911862,0.08354160129982519
2021-08-26,1.1979301932324609,0.08347731826523451
2021-08-27,1.1543205209889844,0.08663105106571548
2021-08-30,1.1725902043289205,0.08528128550863218
2021-08-31,1.1898849559390894,0.08404173823769148
2021-09-01,1.208924203867444,0.0827181718093592
2021-09-02,1.2087450283640422,0.08273043334485809
2021-09-03,1.2241207540832135,0.08169128712705592
2021-09-07,1.2033170126938861,0.08310362019741441
2021-09-08,1.2225696617444497,0.08179493007974112
2021-09-09,1.240905129953414,0.08058633781597326
2021-09-10,1.2296517398052789,0.08132383890729539
2021-09-13,1.2357407999114618,0.08092311915829338
2021-09-14,1.2411919073923574,0.08056771833945632
2021-09-15,1.2224840225522735,0.08180066009469993
2021-09-16,1.2174039599919462,0.08214200321860425
2021-09-17,1.1891155070210289,0.08409611968690907
2021-09-20,1.1178194295279313,0.08945988713242461
2021-09-21,1.1355879546543464,0.08806010982252652
2021-09-22,1.1161529191243418,0.08959345828567403
2021-09-23,1.1026147889139377,0.09069350511659544
2021-09-24,1.1199288316635667,0.08929138814245707
2021-09-27,1.1363590340395366,0.08800035640542175
2021-09-28,1.0413521096776015,0.09602899832887418
2021-09-29,1.0560962262070759,0.09468834138262731
2021-09-30,1.0325155264307218,0.09685084382768328
2021-10-01,0.9987901214646434,0.10012113441145998
2021-10-04,1.005606594570795,0.09944246640773195
2021-10-05,1.0071706989342277,0.09928803539044419
2021-10-06,1.0192976858736806,0.09810676643917426
2021-10-07,1.0253595205640973,0.09752676792329916
2021-10-08,1.0417003362688175,0.09599689710975993
2021-10-11,1.0418509950152421,0.09598301530492566
2021-10-12,1.0578640226242568,0.09453010770886103
2021-10-13,1.0618934573184196,0.09417140609617108
2021-10-14,0.9985421450968122,0.1001459983347069
2021-10-15,1.0120084841552082,0.09881340084167058
2021-10-18,1.0279795213496892,0.09727820245748152
2021-10-19,1.032065680595992,0.09689305814553635
2021-10-20,1.0348583415071182,0.09663158327000078
2021-10-21,1.0514153545909886,0.09510989121792028
2021-10-22,1.064943015312123,0.0939017379917658
2021-10-25,1.0702859720094051,0.09343297269631154
2021-10-26,1.0869004384292424,0.09200474713628523
2021-10-27,1.0866501753227067,0.09202593647058734
2021-10-28,1.0799804734038394,0.0925942667137527
2021-10-29,1.0970586849962727,0.09115282652389718
2021-10-31,1.1146127385695088,0.08971725922344989
2021-11-01,1.1254608478011439,0.08885249113318677
2021-11-02,1.1406000197055126,0.08767315296541783
2021-11-03,1.15660049569299,0.08646027766059697
2021-11-04,1.1695696337000587,0.08550153588003076
2021-11-05,1.1575736342574867,0.08638759301402363
2021-11-08,1.1760753192806466,0.0850285677801364
2021-11-09,1.1947935151020033,0.08369647034070375
2021-11-10,1.1940832268596577,0.08374625633339806
2021-11-11,1.213092549384375,0.0824339412938843
2021-11-12,1.2215376860425833,0.0818640318203936
2021-11-15,1.241012901684899,0.08057933955741473
2021-11-16,1.2608678142115133,0.07931045496829915
2021-11-17,1.2784625863256334,0.07821894912654824
2021-11-18,1.2981849543503177,0.07703062623310516
2021-11-19,1.304808446215408,0.0766396019967909
2021-11-22,1.3240918011811365,0.07552346439332717
2021-11-23,1.342471807048652,0.07448946002064975
2021-11-24,1.3603988005407193,0.073507856637519
2021-11-26,1.1738082370343585,0.08519279116037835
2021-11-29,1.1681796202338868,0.085603273904041
2021-11-30,1.0189225935728874,0.0981428821293937
2021-12-01,1.0097464222148822,0.09903476536282216
2021-12-02,0.949152284978388,0.10535717142826768
2021-12-03,0.9634531468690551,0.10379331919250165
2021-12-06,0.9440604628833106,0.10592541890228527
2021-12-07,0.908656450545564,0.11005259461918668
2021-12-08,0.9231928791602458,0.10831972630785665
2021-12-09,0.9323633391859119,0.10725432435740608
2021-12-10,0.935050423134748,0.10694610421623138
2021-12-13,0.9452433130337007,0.10579286689588537
2021-12-14,0.9532435655473747,0.10490498295949963
2021-12-15,0.944710232693159,0.10585256361087804
2021-12-16,0.9596164056641754,0.10420830595407278
2021-12-17,0.9415256314288871,0.10621059763209743
2021-12-20,0.9258802464403929,0.108005328318059
2021-12-21,0.8954999679935131,0.11166946239435756
2021-12-22,0.8929871641427719,0.11198369250469078
2021-12-23,0.9012265375437492,0.11095989280624752
2021-12-27,0.8829605394683298,0.11325534441234995
2021-12-28,0.8969304555746146,0.11149136410574378
2021-12-29,0.9112820178066047,0.10973551331638626
2021-12-30,0.9258568300751387,0.10800805994149702
2021-12-31,0.9406421695146323,0.10631035184357046
2022-01-03,0.9556867910043718,0.10463679203403634
2022-01-04,0.9601331905562188,0.10415221657119111
2022-01-05,0.9407034252469103,0.10630342923834107
2022-01-06,0.9555374408092249,0.10465314673102927
2022-01-07,0.9708252138910751,0.10300515331611466
2022-01-10,0.9825622981306632,0.1017747171759503
2022-01-11,0.9674859812987345,0.10336067078280756
2022-01-12,0.9810197871622208,0.1019347431199816
2022-01-13,0.9826953171025239,0.10176094081210227
2022-01-14,0.9974103196925017,0.10025964041642328
2022-01-18,0.9518480328958934,0.1050587872685527
2022-01-19,0.9631724942574845,0.103823562857337
2022-01-20,0.958227857852197,0.10435931201597838
2022-01-21,0.9170484045176294,0.10904549804282179
