Date,EqualWeight,RiskParity_erc,RiskParity_erc_VT
2018-06-20,-7.936507936507937e-05,-7.936507936507937e-05,-7.936507936507937e-05
2018-06-21,-7.936507936507937e-05,-7.936507936507937e-05,-7.936507936507937e-05
2018-06-22,-7.936507936507937e-05,-7.936507936507937e-05,-7.936507936507937e-05
2018-06-25,-7.936507936507937e-05,-7.936507936507937e-05,-7.936507936507937e-05
2018-06-26,-7.936507936507937e-05,-7.936507936507937e-05,-7.936507936507937e-05
2018-06-27,-7.936507936507937e-05,-7.936507936507937e-05,-7.936507936507937e-05
2018-06-28,-7.936507936507937e-05,-7.936507936507937e-05,-7.936507936507937e-05
2018-06-29,-7.936507936507937e-05,-7.936507936507937e-05,-7.936507936507937e-05
2018-06-30,-7.936507936507937e-05,,
2018-07-02,-7.936507936507937e-05,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-03,-7.936507936507937e-05,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-05,-7.936507936507937e-05,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-06,-7.936507936507937e-05,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-09,-7.936507936507937e-05,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-10,-7.936507936507937e-05,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-11,-7.936507936507937e-05,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-12,-7.936507936507937e-05,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-13,-7.936507936507937e-05,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-16,-7.936507936507937e-05,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-17,-7.936507936507937e-05,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-18,-7.936507936507937e-05,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-19,-7.936507936507937e-05,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-20,-7.936507936507937e-05,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-23,-7.936507936507937e-05,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-24,-7.936507936507937e-05,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-25,-7.936507936507937e-05,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-26,-7.936507936507937e-05,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-27,-7.936507936507937e-05,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-30,-7.936507936507937e-05,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-31,0.004655350765920338,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-01,-0.005724679462343981,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-02,0.0022434887618932287,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-03,0.0050999300641376396,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-06,0.0025173521097675636,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-07,0.0017350820441376438,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-08,-0.0015729788264594795,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-09,5.422409707477266e-05,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-10,-0.0050123600758582324,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-13,-0.005129478012584927,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-14,0.005141081272918687,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-15,-0.008219017622236325,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-16,0.0067741300926083894,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-17,0.0034403896231224754,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-20,0.0034083076470909426,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-21,0.0016976204330574137,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-22,-0.0009109837064420778,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-23,-0.002846980434492147,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-24,0.007082522697103482,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-27,0.005631270465452242,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-28,-0.0026360431847250103,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-29,0.004991864366452101,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-30,-0.004287181746103357,-7.936507936507937e-05,-7.936507936507937e-05
2018-08-31,-0.0021304562586393736,-0.0031250954470751074,-0.005170825814785136
2018-09-04,-0.002991219024734271,-0.002970495358777528,-0.005861625638189977
2018-09-05,0.000523185495258517,0.0005632070788758386,0.0012057792371167565
2018-09-06,-0.0018605427395264815,-0.0018235588426039305,-0.0035677526058427813
2018-09-07,-0.0030940685122970734,-0.0031200932091920374,-0.0061608213390189955
2018-09-10,0.0018119000404358244,0.0018177612664137385,0.0037148876121925562
2018-09-11,0.001988582872145583,0.0019437139864808572,0.003966793052326794
2018-09-12,0.0016541531155828473,0.001663530288193184,0.0034064256557514473
2018-09-13,0.0037394793797736444,0.0037269554027147267,0.007533275884794533
2018-09-14,-0.0010801099008608097,-0.0011006501496335277,-0.0021219352199019757
2018-09-17,-0.002148514459620658,-0.0021235644888511554,-0.0041677638983372315
2018-09-18,0.002893587392153903,0.002844302577020512,0.005767970233406103
2018-09-19,0.00022453295260880407,0.00017205214102358984,0.00042346936141225905
2018-09-20,0.006867736597939477,0.0068572543597042665,0.013793873798773611
2018-09-21,-0.0005669104980638647,-0.0005611542950247608,-0.0010429435106844424
2018-09-24,-0.004582314824287524,-0.004598069386926148,-0.009116773694487218
