,Base,Timed
CAGR,0.2797674560531025,0.1852491462803889
Vol,0.5587654506959621,0.4014709002478216
Sharpe,0.4648953433494375,0.41160927523858704
MaxDD,-0.7390447932371482,-0.6079152523370508
Hit%,0.548082267926626,0.41856586992773764
