Date,ret_base,ret_timed
2018-06-20,-7.936507936507937e-05,-7.936507936507937e-05
2018-06-21,-7.936507936507937e-05,-7.936507936507937e-05
2018-06-22,-7.936507936507937e-05,-7.936507936507937e-05
2018-06-25,-7.936507936507937e-05,-7.936507936507937e-05
2018-06-26,-7.936507936507937e-05,-7.936507936507937e-05
2018-06-27,-7.936507936507937e-05,-7.936507936507937e-05
2018-06-28,-7.936507936507937e-05,-7.936507936507937e-05
2018-06-29,-7.936507936507937e-05,-7.936507936507937e-05
2018-06-30,,
2018-07-02,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-03,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-05,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-06,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-09,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-10,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-11,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-12,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-13,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-16,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-17,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-18,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-19,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-20,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-23,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-24,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-25,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-26,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-27,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-30,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-31,0.0007772172414478293,0.0007772172414478293
2018-08-01,-0.003343849337741522,-0.003343849337741522
2018-08-02,0.0045601304333955815,0.0045601304333955815
2018-08-03,0.0005341863937895556,0.0005341863937895556
2018-08-06,0.00518359744308728,0.00518359744308728
2018-08-07,0.005208260977544017,0.005208260977544017
2018-08-08,-0.001227231052651797,-0.001227231052651797
2018-08-09,-0.0017966054856914495,-0.0017966054856914495
2018-08-10,-0.0034875554428053534,-0.0034875554428053534
2018-08-13,-0.00647146718515319,-0.00647146718515319
2018-08-14,0.006024341513453072,0.006024341513453072
2018-08-15,-0.018771131662019186,-0.018771131662019186
2018-08-16,0.005436741108392325,0.005436741108392325
2018-08-17,0.0015476577745762977,0.0015476577745762977
2018-08-20,0.00403885444163318,0.00403885444163318
2018-08-21,0.00480317573880374,0.00480317573880374
2018-08-22,0.0052657520181190074,0.0052657520181190074
2018-08-23,-0.001242214013829172,-0.001242214013829172
2018-08-24,0.007662373312837706,0.007662373312837706
2018-08-27,0.0075785731446577145,0.0075785731446577145
2018-08-28,-0.00025871930952088324,-0.00025871930952088324
2018-08-29,0.008730240156654362,0.008730240156654362
2018-08-30,-0.003927916826094347,-0.003927916826094347
2018-08-31,-0.0010755016973434508,-0.0010755016973434508
2018-09-04,-0.0014474748232595688,-0.0014474748232595688
2018-09-05,-0.008273071735869435,-0.008273071735869435
2018-09-06,-0.00957644964862295,-0.00957644964862295
2018-09-07,-0.0012824784180872559,-0.0012824784180872559
2018-09-10,0.002065258990767045,0.002065258990767045
2018-09-11,0.008598696093301444,0.008598696093301444
2018-09-12,0.0008837371212519742,0.0008837371212519742
2018-09-13,0.004537300431975132,0.004537300431975132
2018-09-14,0.00016405256248808902,0.00016405256248808902
2018-09-17,-0.007855829774154437,-0.007855829774154437
2018-09-18,0.00847726633198206,0.00847726633198206
2018-09-19,0.0002368208316911939,0.0002368208316911939
2018-09-20,0.00623774184033925,0.00623774184033925
2018-09-21,-0.0006669656548513519,-0.0006669656548513519
2018-09-24,0.004289320597317909,0.004289320597317909
2018-09-25,0.003070011120138538,0.003070011120138538
2018-09-26,-0.003770369923629698,-0.003770369923629698
2018-09-27,0.003026715636811161,0.003026715636811161
2018-09-28,-4.140309025175737e-05,-4.140309025175737e-05
2018-09-30,,
2018-10-01,0.005110756621178333,0.005110756621178333
2018-10-02,-0.0041947630314885355,-0.0041947630314885355
2018-10-03,0.0024941839097469163,0.0024941839097469163
2018-10-04,-0.012692643021695068,-0.012692643021695068
2018-10-05,-0.006830353042040116,-0.006830353042040116
2018-10-08,-0.0032353487544624377,-0.0032353487544624377
2018-10-09,0.0031171185512075235,0.0031171185512075235
2018-10-10,-0.03791837970704059,-0.03791837970704059
2018-10-11,-0.021452195044923194,-0.021452195044923194
2018-10-12,0.017687042375328706,0.017687042375328706
2018-10-15,-0.009092112021437553,-0.009092112021437553
2018-10-16,0.019414174821563015,0.019414174821563015
2018-10-17,-0.006460435958307727,-0.006460435958307727
2018-10-18,-0.014659474371318641,-0.014659474371318641
2018-10-19,-0.006437129346622801,-0.006437129346622801
2018-10-22,0.00034862489893077136,0.00034862489893077136
2018-10-23,-0.010009463384477531,-0.010009463384477531
2018-10-24,-0.03812928578489974,-0.03812928578489974
2018-10-25,0.025535387746656913,0.025535387746656913
2018-10-26,-0.019605075972595597,-0.019605075972595597
2018-10-29,-0.014860101801553498,-0.014860101801553498
2018-10-30,0.01637854338440411,0.01637854338440411
2018-10-31,0.014307840404344265,0.014307840404344265
2018-11-01,0.01765561688998541,0.01765561688998541
2018-11-02,-0.008143820801329539,-0.008143820801329539
2018-11-05,0.008569708500879982,0.008569708500879982
2018-11-06,0.00674317889451852,0.00674317889451852
2018-11-07,0.03399183890956847,0.03399183890956847
2018-11-08,-0.007315616903746114,-0.007315616903746114
2018-11-09,-0.01202766001431676,-0.01202766001431676
2018-11-12,-0.029944886442901376,-0.029944886442901376
2018-11-13,-0.009817445430586928,-0.009817445430586928
2018-11-14,-0.009819153859835813,-0.009819153859835813
2018-11-15,0.015617292879038723,0.015617292879038723
2018-11-16,0.0054048871164760265,0.0054048871164760265
2018-11-19,-0.025269439113375675,-0.025269439113375675
2018-11-20,-0.028828867533158414,-0.028828867533158414
2018-11-21,0.009190372620739783,0.009190372620739783
2018-11-23,-0.014590274511752464,-0.014590274511752464
2018-11-26,0.023187697779932837,0.023187697779932837
2018-11-27,0.0041095660644887635,0.0041095660644887635
2018-11-28,0.035180574902243175,0.035180574902243175
2018-11-29,-0.001582205194952291,-0.001582205194952291
2018-11-30,0.011687627747963879,0.0
2018-12-03,0.019327636137266076,0.0
2018-12-04,-0.04171347547848517,-0.0
2018-12-06,-0.0051233167726773285,-0.0
2018-12-07,-0.032169908010292805,-0.0
2018-12-10,0.0008565191686359827,0.0
2018-12-11,0.0015892910180645681,0.0
2018-12-12,0.010196086708486528,0.0
2018-12-13,0.00019669173998494054,0.0
2018-12-14,-0.032610800820741,-0.0
2018-12-17,-0.028319560428496954,-0.0
2018-12-18,-0.005614814938710255,-0.0
2018-12-19,-0.02155068535327756,-0.0
2018-12-20,-0.027462518647958074,-0.0
2018-12-21,-0.025137028929213018,-0.0
2018-12-24,-0.03677190083177058,-0.0
2018-12-26,0.07508319937851242,0.0
2018-12-27,0.009529410886234607,0.0
2018-12-28,-0.0029634457329726104,-0.0
2018-12-31,0.01355642892885708,0.0
2019-01-02,-0.00155102175665259,-0.0
2019-01-03,-0.03425751587780819,-0.0
2019-01-04,0.051946123205625784,0.0
2019-01-07,0.014400003496832944,0.0
2019-01-08,0.015700198261775312,0.0
2019-01-09,0.010695677884336568,0.0
2019-01-10,0.006413310821378015,0.0
2019-01-11,-0.002508985378997197,-0.0
2019-01-14,-0.017217627712960048,-0.0
2019-01-15,0.0192393099075328,0.0
2019-01-16,-0.00035947631052408774,-0.0
2019-01-17,0.011717601266239485,0.0
2019-01-18,0.020726534733678362,0.0
2019-01-22,-0.01960812097860527,-0.0
2019-01-23,0.002064578883623702,0.0
2019-01-24,0.00482775334926293,0.0
2019-01-25,0.008409745765833167,0.0
2019-01-28,-0.015145554132721369,-0.0
2019-01-29,-0.002238723604415749,-0.0
2019-01-30,0.02866666963983008,0.0
2019-01-31,0.018481645266982896,0.0
2019-02-01,-0.00018631578939608967,-0.0
2019-02-04,0.0063244989369169325,0.0
2019-02-05,0.008072986535336692,0.0
2019-02-06,-0.0012955062641972696,-0.0
2019-02-07,-0.01184153643944792,-0.0
2019-02-08,0.00247970485588338,0.0
2019-02-11,0.00011839902147104547,0.0
2019-02-12,0.01817132642937044,0.0
2019-02-13,0.005298825408703714,0.0
2019-02-14,0.0025949792609700094,0.0
2019-02-15,0.016809744137724746,0.0
2019-02-19,0.004419418965134765,0.0
2019-02-20,0.0025117995594333767,0.0
2019-02-21,-0.009223399308936854,-0.0
2019-02-22,0.014046409267272856,0.0
2019-02-25,-0.0017083446352456734,-0.0
2019-02-26,6.537789014827294e-05,0.0
2019-02-27,-0.004295017116823703,-0.0
2019-02-28,-0.006333350649258543,-0.006333350649258543
2019-03-01,0.013349414160354518,0.013349414160354518
