,EqualWeight,RiskParity
CAGR,0.09276594591319287,0.0890814729742373
Vol,0.15764454014157275,0.14499627947575564
Sharpe,0.46158240461639444,0.47643617632125645
MaxDD,-0.3030558179438637,-0.2902187735604067
Hit%,0.5347945205479452,0.5230683713173986
