Date,ret_ew,ret_rp
2018-06-20,-7.936507936507937e-05,-7.936507936507937e-05
2018-06-21,-7.936507936507937e-05,-7.936507936507937e-05
2018-06-22,-7.936507936507937e-05,-7.936507936507937e-05
2018-06-25,-7.936507936507937e-05,-7.936507936507937e-05
2018-06-26,-7.936507936507937e-05,-7.936507936507937e-05
2018-06-27,-7.936507936507937e-05,-7.936507936507937e-05
2018-06-28,-7.936507936507937e-05,-7.936507936507937e-05
2018-06-29,-7.936507936507937e-05,-7.936507936507937e-05
2018-06-30,-7.936507936507937e-05,
2018-07-02,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-03,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-05,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-06,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-09,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-10,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-11,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-12,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-13,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-16,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-17,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-18,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-19,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-20,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-23,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-24,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-25,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-26,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-27,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-30,-7.936507936507937e-05,-7.936507936507937e-05
2018-07-31,0.0046553996165447165,-7.936507936507937e-05
2018-08-01,-0.005724688943187914,-7.936507936507937e-05
2018-08-02,0.0022434553848309016,-7.936507936507937e-05
2018-08-03,0.005099861858274525,-7.936507936507937e-05
2018-08-06,0.002517477408931025,-7.936507936507937e-05
2018-08-07,0.0017350950820655942,-7.936507936507937e-05
2018-08-08,-0.0015729796578906256,-7.936507936507937e-05
2018-08-09,5.426709166861179e-05,-7.936507936507937e-05
2018-08-10,-0.005012477138921475,-7.936507936507937e-05
2018-08-13,-0.0051294562016914475,-7.936507936507937e-05
2018-08-14,0.005141089964545253,-7.936507936507937e-05
2018-08-15,-0.008219116457065091,-7.936507936507937e-05
2018-08-16,0.006774203431568683,-7.936507936507937e-05
2018-08-17,0.003440441704495254,-7.936507936507937e-05
2018-08-20,0.0034082598998468024,-7.936507936507937e-05
2018-08-21,0.0016977133526441422,-7.936507936507937e-05
2018-08-22,-0.0009110083244618391,-7.936507936507937e-05
2018-08-23,-0.002847027480367333,-7.936507936507937e-05
2018-08-24,0.007082542360867016,-7.936507936507937e-05
2018-08-27,0.005631192421994082,-7.936507936507937e-05
2018-08-28,-0.0026360589059494064,-7.936507936507937e-05
2018-08-29,0.004991906881383575,-7.936507936507937e-05
2018-08-30,-0.004287163691416796,-7.936507936507937e-05
2018-08-31,-0.0021303844888328777,-7.936507936507937e-05
2018-09-04,-0.0029912625477010284,-7.936507936507937e-05
2018-09-05,0.0005231571662714076,-7.936507936507937e-05
2018-09-06,-0.0018605543094113372,-7.936507936507937e-05
2018-09-07,-0.003093937872355616,-7.936507936507937e-05
2018-09-10,0.0018117216745160312,-7.936507936507937e-05
2018-09-11,0.0019886954924908367,-7.936507936507937e-05
2018-09-12,0.0016540631899861374,-7.936507936507937e-05
2018-09-13,0.003739564237844909,-7.936507936507937e-05
2018-09-14,-0.0010801467078956095,-7.936507936507937e-05
2018-09-17,-0.00214853643101995,-7.936507936507937e-05
2018-09-18,0.0028935600554132164,-7.936507936507937e-05
2018-09-19,0.0002245960745682411,-7.936507936507937e-05
2018-09-20,0.006867714511099417,-7.936507936507937e-05
2018-09-21,-0.0005668777783830853,-7.936507936507937e-05
2018-09-24,-0.004582362272768123,-7.936507936507937e-05
2018-09-25,-0.0021096462420373847,-7.936507936507937e-05
2018-09-26,-0.002952953270801687,-7.936507936507937e-05
2018-09-27,0.0010067030811940288,-7.936507936507937e-05
2018-09-28,8.338983800470817e-05,-7.936507936507937e-05
2018-09-30,-7.936507936507937e-05,
2018-10-01,0.0020909694483010398,-7.936507936507937e-05
2018-10-02,0.0023520073692034514,-7.936507936507937e-05
2018-10-03,-0.0023548177853320042,-7.936507936507937e-05
2018-10-04,-0.005629677905176241,-7.936507936507937e-05
2018-10-05,-0.0034016791458293875,-7.936507936507937e-05
2018-10-08,0.00020099977269144364,-7.936507936507937e-05
2018-10-09,-0.002521933954324088,-7.936507936507937e-05
2018-10-10,-0.023729797244958523,-7.936507936507937e-05
2018-10-11,-0.014465069752856571,-7.936507936507937e-05
2018-10-12,0.008067665489970665,-7.936507936507937e-05
2018-10-15,-0.002309028373792721,-7.936507936507937e-05
2018-10-16,0.015258438120170033,-7.936507936507937e-05
2018-10-17,-0.0014700286484095808,-7.936507936507937e-05
2018-10-18,-0.009879391086831902,-7.936507936507937e-05
2018-10-19,5.648458552153185e-05,-7.936507936507937e-05
2018-10-22,-0.0049184046031229105,-7.936507936507937e-05
2018-10-23,-0.0053931034210220165,-7.936507936507937e-05
2018-10-24,-0.02066656377054596,-7.936507936507937e-05
2018-10-25,0.011479273268010817,-7.936507936507937e-05
2018-10-26,-0.013032202322748867,-7.936507936507937e-05
2018-10-29,-0.004097567696690056,-7.936507936507937e-05
2018-10-30,0.013464280608578485,-7.936507936507937e-05
2018-10-31,0.0055998625746428886,0.002259622277178151
2018-11-01,0.010401314183884324,0.009675671711902896
2018-11-02,-0.005270983992149908,-0.0053032852279700435
2018-11-05,0.006092313357839734,0.006004958899207543
2018-11-06,0.00557697658079381,0.004789374181030982
2018-11-07,0.015428515384156011,0.013360734290902258
2018-11-08,-0.0032012691400773656,-0.002590088708394628
2018-11-09,-0.0072503521819489635,-0.005653075800730415
2018-11-12,-0.0138656823440462,-0.01138001246984831
2018-11-13,-0.002039030974282654,-0.0016783892463090302
2018-11-14,-0.00428222237823033,-0.003577638347026549
2018-11-15,0.007172672206224905,0.005736150817537874
2018-11-16,0.004381410860503354,0.004950137234445732
2018-11-19,-0.010945572581402505,-0.008464690959210262
