Date,eq_base,eq_regime
2018-06-20,1.0,1.0
2018-06-21,1.0,1.0
2018-06-22,1.0,1.0
2018-06-25,1.0,1.0
2018-06-26,1.0,1.0
2018-06-27,1.0,1.0
2018-06-28,1.0,1.0
2018-06-29,1.0,1.0
2018-07-02,1.0,1.0
2018-07-03,1.0,1.0
2018-07-05,1.0,1.0
2018-07-06,1.0,1.0
2018-07-09,1.0,1.0
2018-07-10,1.0,1.0
2018-07-11,1.0,1.0
2018-07-12,1.0,1.0
2018-07-13,1.0,1.0
2018-07-16,1.0,1.0
2018-07-17,1.0,1.0
2018-07-18,1.0,1.0
2018-07-19,1.0,1.0
2018-07-20,1.0,1.0
2018-07-23,1.0,1.0
2018-07-24,1.0,1.0
2018-07-25,1.0,1.0
2018-07-26,1.0,1.0
2018-07-27,1.0,1.0
2018-07-30,1.0,1.0
2018-07-31,1.0,1.0
2018-08-01,1.0,1.0
2018-08-02,1.0,1.0
2018-08-03,1.0,1.0
2018-08-06,1.0,1.0
2018-08-07,1.0,1.0
2018-08-08,1.0,1.0
2018-08-09,1.0,1.0
2018-08-10,1.0,1.0
2018-08-13,1.0,1.0
2018-08-14,1.0,1.0
2018-08-15,1.0,1.0
2018-08-16,1.0,1.0
2018-08-17,1.0,1.0
2018-08-20,1.0,1.0
2018-08-21,1.0,1.0
2018-08-22,1.0,1.0
2018-08-23,1.0,1.0
2018-08-24,1.0,1.0
2018-08-27,1.0,1.0
2018-08-28,1.0,1.0
2018-08-29,1.0,1.0
2018-08-30,1.0,1.0
2018-08-31,0.995312433610054,0.995312433610054
2018-09-04,0.9908776028293971,0.9908776028293971
2018-09-05,0.9917146046683375,0.9917146046683375
2018-09-06,0.9890017958969094,0.9890017958969094
2018-09-07,0.9843733273905886,0.9843733273905886
2018-09-10,0.9870571375145262,0.9870571375145262
2018-09-11,0.9899352200843744,0.9899352200843744
2018-09-12,0.9924053061065933,0.9924053061065933
2018-09-13,0.9979532906940638,0.9979532906940638
2018-09-14,0.9963056225199753,0.9963056225199753
2018-09-17,0.9931320516226373,0.9931320516226373
2018-09-18,0.9973692985402516,0.9973692985402516
2018-09-19,0.9976265554930973,0.9976265554930973
2018-09-20,1.007888124635105,1.007888124635105
2018-09-21,1.0070397702822573,1.0070397702822573
2018-09-24,1.0000938858007555,1.0000938858007555
2018-09-25,0.9968915895623588,0.9968915895623588
2018-09-26,0.9924862015874277,0.9924862015874277
2018-09-27,0.9939943772251892,0.9939943772251892
2018-09-28,0.9941617974385526,0.9941617974385526
2018-10-01,0.9972196330167156,0.9972196330167156
2018-10-02,1.0007926079705667,1.0007926079705667
2018-10-03,0.9971690871012792,0.9971690871012792
2018-10-04,0.9888054810599756,0.9888054810599756
2018-10-05,0.9838190066414237,0.9838190066414237
2018-10-08,0.9841523210050606,0.9841523210050606
2018-10-09,0.9805162054840741,0.9805162054840741
2018-10-10,0.9457970126081219,0.9556080545566029
2018-10-11,0.9253454531949536,0.942319297374265
2018-10-12,0.9364560809337875,0.9493614622575081
2018-10-15,0.933260675412738,0.9473291417991415
2018-10-16,0.9531922597120243,0.9594683679423128
2018-10-17,0.9512209841150842,0.9582778148966983
2018-10-18,0.9383420672526859,0.9504931378246613
2018-10-19,0.93849189844993,0.9505842006874164
2018-10-22,0.9320462862065585,0.9466670029966792
2018-10-23,0.9250989530629196,0.942433214733217
2018-10-24,0.9019651296705549,0.9282928353868442
2018-10-25,0.9140305222991731,0.9357433789820494
2018-10-26,0.9004924630151334,0.9274275849049932
2018-10-29,0.8963464460073903,0.9248655664328397
2018-10-30,0.9094824275121889,0.9329979244262488
2018-10-31,0.9148017179712754,0.9362720197628616
2018-11-01,0.9248907695510897,0.9424675241095779
2018-11-02,0.9196631865973413,0.9392713669033244
2018-11-05,0.9257020580294572,0.9429719427927976
2018-11-06,0.9311759618660963,0.9463175577392423
2018-11-07,0.9456838142720989,0.9551638140983798
2018-11-08,0.9426086299377,0.9533002072012938
2018-11-09,0.9357286925927457,0.9491254232104596
2018-11-12,0.9229786460708068,0.9413658706412907
2018-11-13,0.9211190538139903,0.9402278876394121
2018-11-14,0.9171570448411026,0.9378013665646636
2018-11-15,0.923646397862679,0.9417826198294037
2018-11-16,0.9278156751604844,0.9443333056148353
2018-11-19,0.9179158080320428,0.9382876386785023
2018-11-20,0.9046338636902592,0.9301416077999864
2018-11-21,0.9069427935943108,0.9315660283480907
2018-11-23,0.9015820017056098,0.9282622268445142
2018-11-26,0.9111126267077786,0.9341498238712939
2018-11-27,0.9120946116210584,0.9347539123276899
2018-11-28,0.9253198619727914,0.942886196643562
2018-11-29,0.9257391104723852,0.9431425211683946
2018-11-30,0.9310418233109122,0.946383961806897
2018-12-03,0.9395835214543824,0.9515934331284939
2018-12-04,0.9220528109385978,0.9409405585575935
2018-12-06,0.9199107648700859,0.939629003731069
2018-12-07,0.9081086307836891,0.9323959364051957
2018-12-10,0.9082992389616988,0.9325133599939145
2018-12-11,0.9081311285518539,0.9324098047801193
2018-12-12,0.9113610946031528,0.9343995958492619
2018-12-13,0.9103291927584143,0.9337648033356976
2018-12-14,0.9000418759714363,0.9274335106036669
2018-12-17,0.8880593780776534,0.9200252085785388
2018-12-18,0.8869968259134738,0.9193647292453273
2018-12-19,0.8786780482643827,0.9141913235210403
2018-12-20,0.8697811081650264,0.9086374084363624
2018-12-21,0.8594331211253312,0.9020890616780268
2018-12-24,0.8446290554842915,0.8922379098563511
2018-12-26,0.8655107840517672,0.9084856252100101
2018-12-27,0.8704404222553632,0.9122991439207981
