Date,ret_base,ret_regime
2018-06-20,-0.0,-0.0
2018-06-21,-0.0,-0.0
2018-06-22,-0.0,-0.0
2018-06-25,-0.0,-0.0
2018-06-26,-0.0,-0.0
2018-06-27,-0.0,-0.0
2018-06-28,-0.0,-0.0
2018-06-29,-0.0,-0.0
2018-07-02,-0.0,-0.0
2018-07-03,-0.0,-0.0
2018-07-05,-0.0,-0.0
2018-07-06,-0.0,-0.0
2018-07-09,-0.0,-0.0
2018-07-10,-0.0,-0.0
2018-07-11,-0.0,-0.0
2018-07-12,-0.0,-0.0
2018-07-13,-0.0,-0.0
2018-07-16,-0.0,-0.0
2018-07-17,-0.0,-0.0
2018-07-18,-0.0,-0.0
2018-07-19,-0.0,-0.0
2018-07-20,-0.0,-0.0
2018-07-23,-0.0,-0.0
2018-07-24,-0.0,-0.0
2018-07-25,-0.0,-0.0
2018-07-26,-0.0,-0.0
2018-07-27,-0.0,-0.0
2018-07-30,-0.0,-0.0
2018-07-31,-0.0,-0.0
2018-08-01,-0.0,-0.0
2018-08-02,-0.0,-0.0
2018-08-03,-0.0,-0.0
2018-08-06,-0.0,-0.0
2018-08-07,-0.0,-0.0
2018-08-08,-0.0,-0.0
2018-08-09,-0.0,-0.0
2018-08-10,-0.0,-0.0
2018-08-13,-0.0,-0.0
2018-08-14,-0.0,-0.0
2018-08-15,-0.0,-0.0
2018-08-16,-0.0,-0.0
2018-08-17,-0.0,-0.0
2018-08-20,-0.0,-0.0
2018-08-21,-0.0,-0.0
2018-08-22,-0.0,-0.0
2018-08-23,-0.0,-0.0
2018-08-24,-0.0,-0.0
2018-08-27,-0.0,-0.0
2018-08-28,-0.0,-0.0
2018-08-29,-0.0,-0.0
2018-08-30,-0.0,-0.0
2018-08-31,-0.004687566389946005,-0.004687566389946005
2018-09-04,-0.004455717251086217,-0.004455717251086217
2018-09-05,0.0008447075971344724,0.0008447075971344724
2018-09-06,-0.0027354732487128632,-0.0027354732487128632
2018-09-07,-0.004679939435421702,-0.004679939435421702
2018-09-10,0.002726414917246691,0.002726414917246691
2018-09-11,0.0029158216484765987,0.0029158216484765987
2018-09-12,0.002495199657618392,0.002495199657618392
2018-09-13,0.005590442285356654,0.005590442285356654
2018-09-14,-0.0016510473881422856,-0.0016510473881422856
2018-09-17,-0.0031853387410492396,-0.0031853387410492396
2018-09-18,0.004266549358356839,0.004266549358356839
2018-09-19,0.0002579355041529515,0.0002579355041529515
2018-09-20,0.010285982350315246,0.010285982350315246
2018-09-21,-0.0008417148015855229,-0.0008417148015855229
2018-09-24,-0.006897328870690894,-0.006897328870690894
2018-09-25,-0.0032019956164742193,-0.0032019956164742193
2018-09-26,-0.004419124427426585,-0.004419124427426585
2018-09-27,0.001519593557421048,0.001519593557421048
2018-09-28,0.0001684317509227502,0.0001684317509227502
2018-10-01,0.00307579267885906,0.00307579267885906
2018-10-02,0.00358293683312497,0.00358293683312497
2018-10-03,-0.003620651112357252,-0.003620651112357252
2018-10-04,-0.00838734989831676,-0.00838734989831676
2018-10-05,-0.00504292756671052,-0.00504292756671052
2018-10-08,0.0003387964263617697,0.0003387964263617697
2018-10-09,-0.003694667424320107,-0.003694667424320107
2018-10-10,-0.03540909643488414,-0.025403099702135206
2018-10-11,-0.02162362445697638,-0.013906074900659707
2018-10-12,0.012007005276215553,0.007473225798161684
2018-10-15,-0.0034122321229023323,-0.0021407235696442647
2018-10-16,0.02135693148162648,0.012814158888975885
2018-10-17,-0.002068077637910848,-0.0012408465827465087
2018-10-18,-0.013539353186556866,-0.008123611911934118
2018-10-19,0.00015967652146606302,9.580591287963782e-05
2018-10-22,-0.006868053154233298,-0.004120831892539979
2018-10-23,-0.007453849928327788,-0.004472309956996673
2018-10-24,-0.025006863661201553,-0.015004118196720928
2018-10-25,0.01337678390407981,0.008026070342447886
2018-10-26,-0.01481138644034102,-0.008886831864204612
2018-10-29,-0.004604166251276518,-0.0027624997507659102
2018-10-30,0.014655027153072734,0.008793016291843639
2018-10-31,0.005848700643548429,0.0035092203861290566
2018-11-01,0.011028675812052918,0.00661720548723175
2018-11-02,-0.005652108471453102,-0.0033912650828718605
2018-11-05,0.006566394654176727,0.003939836792506036
2018-11-06,0.005913245832348483,0.0035479474994090892
2018-11-07,0.015580140596551122,0.009348084357930673
2018-11-08,-0.003251810264687552,-0.001951086158812531
2018-11-09,-0.007298827027935235,-0.004379296216761141
2018-11-12,-0.01362579412480206,-0.008175476474881234
2018-11-13,-0.0020147727845416076,-0.0012088636707249644
2018-11-14,-0.004301299551325773,-0.0025807797307954637
2018-11-15,0.00707550910509628,0.004245305463057769
2018-11-16,0.0045139322877813404,0.0027083593726688043
2018-11-19,-0.010670079621934725,-0.006402047773160835
2018-11-20,-0.014469676004664587,-0.008681805602798753
2018-11-21,0.0025523363614013816,0.001531401816840829
2018-11-23,-0.005910837956444542,-0.0035465027738667246
2018-11-26,0.010571001843580364,0.006342601106148218
2018-11-27,0.0010777865265990522,0.0006466719159594313
2018-11-28,0.014499866771746132,0.008699920063047678
2018-11-29,0.00045308494589105523,0.0002718509675346331
2018-11-30,0.005728085568104738,0.003436851340862842
2018-12-03,0.009174344191214542,0.0055046065147287245
2018-12-04,-0.0186579586758278,-0.011194775205496678
2018-12-06,-0.0023231273123406754,-0.001393876387404405
2018-12-07,-0.012829651023883304,-0.007697790614329981
2018-12-10,0.00020989578949951444,0.00012593747369970865
2018-12-11,-0.0001850826276560308,-0.00011104957659361846
2018-12-12,0.0035567176916945953,0.002134030615016757
