,Base,Regime
CAGR,0.059285519009219856,0.07020708788975827
Vol,0.10627564868582516,0.08463395657013098
Sharpe,0.3696568263286421,0.5932262879398144
MaxDD,-0.19550197863136354,-0.16547405586927755
Hit%,0.5336297943301834,0.5336297943301834
