Date,ret_base,ret_vt
2018-06-20,-7.936507936507937e-05,-0.0
2018-06-21,-7.936507936507937e-05,-0.0
2018-06-22,-7.936507936507937e-05,-0.0
2018-06-25,-7.936507936507937e-05,-0.0
2018-06-26,-7.936507936507937e-05,-0.0
2018-06-27,-7.936507936507937e-05,-0.0
2018-06-28,-7.936507936507937e-05,-0.0
2018-06-29,-7.936507936507937e-05,-0.0
2018-07-02,-7.936507936507937e-05,-0.0
2018-07-03,-7.936507936507937e-05,-0.0
2018-07-05,-7.936507936507937e-05,-0.0
2018-07-06,-7.936507936507937e-05,-0.0
2018-07-09,-7.936507936507937e-05,-0.0
2018-07-10,-7.936507936507937e-05,-0.0
2018-07-11,-7.936507936507937e-05,-0.0
2018-07-12,-7.936507936507937e-05,-0.0
2018-07-13,-7.936507936507937e-05,-0.0
2018-07-16,-7.936507936507937e-05,-0.0
2018-07-17,-7.936507936507937e-05,-0.0
2018-07-18,-7.936507936507937e-05,-0.0
2018-07-19,-7.936507936507937e-05,-0.0
2018-07-20,-7.936507936507937e-05,-0.0
2018-07-23,-7.936507936507937e-05,-0.0
2018-07-24,-7.936507936507937e-05,-0.0
2018-07-25,-7.936507936507937e-05,-0.0
2018-07-26,-7.936507936507937e-05,-0.0
2018-07-27,-7.936507936507937e-05,-0.0
2018-07-30,-7.936507936507937e-05,-0.0
2018-07-31,0.0007770694831366131,0.0
2018-08-01,-0.003343776464688671,-0.0
2018-08-02,0.004560116241911927,0.0
2018-08-03,0.0005338698048067855,0.0
2018-08-06,0.005183767626967084,0.0
2018-08-07,0.005208289765880547,0.0
2018-08-08,-0.0012271494974738155,-0.0
2018-08-09,-0.0017964632299710239,-0.0
2018-08-10,-0.003487552167892235,-0.0
2018-08-13,-0.006471645206145544,-0.0
2018-08-14,0.0060244556632758515,0.0
2018-08-15,-0.018771349541786744,-0.0
2018-08-16,0.005436842953831814,0.0
2018-08-17,0.0015475611597823547,0.0
2018-08-20,0.004039072456283883,0.0
2018-08-21,0.004803140743643341,0.0
2018-08-22,0.005265690642030574,0.0
2018-08-23,-0.0012423216860457595,-0.0
2018-08-24,0.007662488463890326,0.0
2018-08-27,0.007578636799128372,0.0
2018-08-28,-0.00025872892279702126,-0.0
2018-08-29,0.008730070393800292,0.0
2018-08-30,-0.003927904575496551,-0.0
2018-08-31,-0.0010754284624770205,-0.0
2018-09-04,-0.0014473812752662909,-0.0
2018-09-05,-0.00827331092894197,-0.0
2018-09-06,-0.009576126992615484,-0.0
2018-09-07,-0.001282587971891617,-0.0
2018-09-10,0.002065209033702264,0.0
2018-09-11,0.008598564651484755,0.0
2018-09-12,0.0008839191505544201,0.0
2018-09-13,0.004537321628859824,0.0
2018-09-14,0.00016396761081335714,0.0
2018-09-17,-0.007855755864848725,-0.0
2018-09-18,0.00847719201236782,0.011965393382142883
2018-09-19,0.00023674724843914674,0.00033418457760235864
2018-09-20,0.0062377656629020615,0.008685451030771571
2018-09-21,-0.0006669275630175904,-0.0009282896843546614
2018-09-24,0.004289197864741252,0.005936294285998136
2018-09-25,0.003070447041161002,0.004239244097437907
2018-09-26,-0.0037707504202478003,-0.005170379748393821
2018-09-27,0.003026715580871464,0.004140575275609424
2018-09-28,-4.151206846014077e-05,-5.6789849176964993e-05
2018-10-01,0.00511105292715542,0.006938772860076601
2018-10-02,-0.004194927699054636,-0.005648078853526629
2018-10-03,0.002494284472972441,0.003354197174208786
2018-10-04,-0.012692653623548648,-0.01607597441416011
2018-10-05,-0.006830316672317068,-0.008510538795702833
2018-10-08,-0.0032352607242264486,-0.0040159197251778585
2018-10-09,0.0031168668018497197,0.0038591460418950035
2018-10-10,-0.037918117815581034,-0.03410877434852186
2018-10-11,-0.02145228270302967,-0.01803901878073286
2018-10-12,0.017686949439273632,0.014211155024344987
2018-10-15,-0.009092026257196104,-0.007234984038374597
2018-10-16,0.019414171840594876,0.014724827740159771
2018-10-17,-0.006460322259719701,-0.004878095447309948
2018-10-18,-0.014659497014212349,-0.010818634537423301
2018-10-19,-0.006437246845852703,-0.004732995936345976
2018-10-22,0.0003485246097647627,0.0002562343857932549
2018-10-23,-0.010009231005899373,-0.0072903831226393285
2018-10-24,-0.03812947551667141,-0.02440151172889823
2018-10-25,0.02553531202575477,0.015449644322429765
2018-10-26,-0.019605076567997398,-0.01157321509575157
2018-10-29,-0.014859779906889277,-0.008665052531090374
2018-10-30,0.016378326508896042,0.009350823392200662
2018-10-31,0.014307821775847817,0.008059111748106373
2018-11-01,0.017655793977400438,0.009731312554565287
2018-11-02,-0.00814401864871653,-0.004484631815060163
2018-11-05,0.008569905354397136,0.004703794663719795
2018-11-06,0.0067432356906482445,0.0036879888030533045
2018-11-07,0.03399168021421339,0.01737351802372326
2018-11-08,-0.007315672823446207,-0.003731411024480791
2018-11-09,-0.012027757820582328,-0.006103150748547055
2018-11-12,-0.0299446509666219,-0.014589691130199452
2018-11-13,-0.009817345792808456,-0.004839419575437524
2018-11-14,-0.009819259926760611,-0.004831568181207634
2018-11-15,0.015617137673133634,0.00758453628760255
2018-11-16,0.0054050694829199,0.0026230775869667136
2018-11-19,-0.025269474964762013,-0.011952917481054334
2018-11-20,-0.028828909505940702,-0.01322569740133861
2018-11-21,0.009190378854294308,0.004194687930589931
2018-11-23,-0.014590416746511766,-0.006639690724431685
2018-11-26,0.02318773693268025,0.01031981918632644
2018-11-27,0.0041096420570526345,0.0018266368928643265
2018-11-28,0.03518070933525701,0.014910672120818846
2018-11-29,-0.0015822969569528815,-0.0006707925448664518
