,Base,VolTarget
CAGR,0.28076469804859383,0.0757842901912269
Vol,0.558916090696901,0.10583602566197592
Sharpe,0.4665542867507208,0.5270822467332001
MaxDD,-0.7390449535992725,-0.1710698245606893
Hit%,0.5483870967741935,0.5378197997775306
